rank,title,title_jp,score,scored_by,members,year,genres,url
353,Kage no Jitsuryokusha ni Naritakute! 2nd Season,陰の実力者になりたくて！ 2nd Season,8.26,291710,520830,2023,Action|Comedy|Fantasy,https://myanimelist.net/anime/54595/Kage_no_Jitsuryokusha_ni_Naritakute_2nd_Season
357,Space☆Dandy 2nd Season,スペース☆ダンディ 第2シリーズ,8.26,95600,181728,2014,Comedy|Sci-Fi,https://myanimelist.net/anime/23327/Space☆Dandy_2nd_Season
348,Dororo,どろろ,8.26,695014,1363888,2019,Action|Adventure|Fantasy,https://myanimelist.net/anime/37520/Dororo
361,Yuru Camp△,ゆるキャン△,8.26,238388,538695,2018,Slice of Life,https://myanimelist.net/anime/34798/Yuru_Camp△
356,Shirobako,SHIROBAKO,8.26,149169,469100,2014,Award Winning|Comedy|Drama,https://myanimelist.net/anime/25835/Shirobako
351,Gyakkyou Burai Kaiji: Ultimate Survivor,逆境無頼カイジ Ultimate Survivor,8.26,177263,389083,2007,Suspense,https://myanimelist.net/anime/3002/Gyakkyou_Burai_Kaiji__Ultimate_Survivor
349,Dr. Stone,ドクターストーン,8.26,1169309,1935856,2019,Adventure|Comedy,https://myanimelist.net/anime/38691/Dr_Stone
350,Fate/Zero,フェイト/ゼロ,8.26,909239,1594428,2011,Action|Fantasy,https://myanimelist.net/anime/10087/Fate_Zero
363,Dr. Stone: Science Future,Dr.STONE SCIENCE FUTURE,8.25,140332,292001,2025,Adventure|Comedy,https://myanimelist.net/anime/57592/Dr_Stone__Science_Future
364,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Yakusai-hen,ダンジョンに出会いを求めるのは間違っているだろうかⅣ深章 厄災篇,8.25,153788,289265,2023,Action|Adventure|Fantasy,https://myanimelist.net/anime/53111/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_IV__Shin_Shou_-_Yakusai-hen
368,Nodame Cantabile,のだめカンタービレ,8.25,134164,331041,2007,Comedy|Romance,https://myanimelist.net/anime/1698/Nodame_Cantabile
374,Jigokuraku 2nd Season,地獄楽第二期,8.24,31159,311066,2026,Action|Adventure|Supernatural,https://myanimelist.net/anime/55825/Jigokuraku_2nd_Season
371,Golden Kamuy 2nd Season,ゴールデンカムイ,8.24,128317,235501,2018,Action|Adventure,https://myanimelist.net/anime/37989/Golden_Kamuy_2nd_Season
372,Gyakkyou Burai Kaiji: Hakairoku-hen,逆境無頼カイジ 破戒録篇,8.24,116887,212517,2011,Suspense,https://myanimelist.net/anime/10271/Gyakkyou_Burai_Kaiji__Hakairoku-hen
375,Kamisama Hajimemashita◎,神様はじめました◎,8.24,247322,465229,2015,Comedy|Romance|Supernatural,https://myanimelist.net/anime/25681/Kamisama_Hajimemashita◎
373,Shinsekai yori,新世界より,8.24,288732,818585,2012,Drama|Fantasy|Horror|Mystery|Sci-Fi|Suspense,https://myanimelist.net/anime/13125/Shinsekai_yori
386,World Trigger 3rd Season,ワールドトリガー,8.24,54660,139360,2021,Action|Sci-Fi,https://myanimelist.net/anime/44940/World_Trigger_3rd_Season
383,Kono Subarashii Sekai ni Shukufuku wo! 2,この素晴らしい世界に祝福を！ 2,8.24,1085606,1641227,2017,Adventure|Comedy|Fantasy,https://myanimelist.net/anime/32937/Kono_Subarashii_Sekai_ni_Shukufuku_wo_2
379,Planetes,プラネテス,8.24,82763,278431,2003,Award Winning|Drama|Romance|Sci-Fi,https://myanimelist.net/anime/329/Planetes
373,IDOLiSH7 Third Beat!,アイドリッシュセブン Third BEAT!,8.24,9226,26777,2021,Drama,https://myanimelist.net/anime/45577/IDOLiSH7_Third_Beat
374,Shoujo Shuumatsu Ryokou,少女終末旅行,8.24,149927,397511,2017,Adventure|Mystery|Sci-Fi|Slice of Life,https://myanimelist.net/anime/35838/Shoujo_Shuumatsu_Ryokou
380,Re:Zero kara Hajimeru Isekai Seikatsu,Re:ゼロから始める異世界生活,8.24,1551690,2430769,2016,Drama|Fantasy|Suspense,https://myanimelist.net/anime/31240/Re_Zero_kara_Hajimeru_Isekai_Seikatsu
387,BanG Dream! It's MyGO!!!!!,バンドリ！It's MyGO!!!!!,8.23,20070,41340,2023,Drama,https://myanimelist.net/anime/54959/BanG_Dream_Its_MyGO
389,Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season,機動戦士ガンダム 鉄血のオルフェンズ 第2期,8.23,89438,159746,2016,Drama|Sci-Fi,https://myanimelist.net/anime/33051/Kidou_Senshi_Gundam__Tekketsu_no_Orphans_2nd_Season
388,Danshi Koukousei no Nichijou,男子高校生の日常,8.23,440082,880789,2012,Comedy,https://myanimelist.net/anime/11843/Danshi_Koukousei_no_Nichijou
391,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,青春ブタ野郎はバニーガール先輩の夢を見ない,8.23,1227185,1938046,2018,Drama|Romance|Supernatural,https://myanimelist.net/anime/37450/Seishun_Buta_Yarou_wa_Bunny_Girl_Senpai_no_Yume_wo_Minai
399,Gachiakuta,ガチアクタ,8.22,188448,453488,2025,Action|Fantasy,https://myanimelist.net/anime/59062/Gachiakuta
402,Kaijuu 8-gou,怪獣8号,8.22,409880,709682,2024,Action|Fantasy|Sci-Fi,https://myanimelist.net/anime/52588/Kaijuu_8-gou
406,Nodame Cantabile Finale,のだめカンタービレ フィナーレ,8.22,71945,133197,2010,Comedy|Romance,https://myanimelist.net/anime/5690/Nodame_Cantabile_Finale
400,Kage no Jitsuryokusha ni Naritakute!,陰の実力者になりたくて！,8.22,460186,846817,2022,Action|Comedy|Fantasy,https://myanimelist.net/anime/48316/Kage_no_Jitsuryokusha_ni_Naritakute
398,Boku no Hero Academia 6th Season,僕のヒーローアカデミア,8.22,414324,806300,2022,Action,https://myanimelist.net/anime/49918/Boku_no_Hero_Academia_6th_Season
418,Seihantai na Kimi to Boku,正反対な君と僕,8.21,21654,122153,2026,Comedy|Romance,https://myanimelist.net/anime/60371/Seihantai_na_Kimi_to_Boku
419,Spy x Family Season 3,SPY×FAMILY Season 3,8.21,112209,321093,2025,Action|Comedy,https://myanimelist.net/anime/59027/Spy_x_Family_Season_3
420,Tengoku Daimakyou,天国大魔境,8.21,287755,618908,2023,Adventure|Mystery|Sci-Fi,https://myanimelist.net/anime/53393/Tengoku_Daimakyou
410,Boku no Kokoro no Yabai Yatsu,僕の心のヤバイやつ,8.21,223959,430842,2023,Comedy|Romance,https://myanimelist.net/anime/52578/Boku_no_Kokoro_no_Yabai_Yatsu
421,Ookami to Koushinryou,狼と香辛料,8.21,413374,866900,2008,Adventure|Drama|Romance|Supernatural,https://myanimelist.net/anime/2966/Ookami_to_Koushinryou
414,Major S3,メジャー (第3シリーズ),8.21,45675,74170,2007,Sports,https://myanimelist.net/anime/1842/Major_S3
438,Yubisaki to Renren,ゆびさきと恋々,8.2,156371,337640,2024,Romance,https://myanimelist.net/anime/55866/Yubisaki_to_Renren
432,Mushoku Tensei II: Isekai Ittara Honki Dasu,無職転生 II ～異世界行ったら本気だす～,8.2,432574,739229,2023,Adventure|Drama|Fantasy|Ecchi,https://myanimelist.net/anime/51179/Mushoku_Tensei_II__Isekai_Ittara_Honki_Dasu
422,Bungou Stray Dogs 3rd Season,文豪ストレイドッグス 第3期,8.2,374849,703762,2019,Action|Mystery,https://myanimelist.net/anime/38003/Bungou_Stray_Dogs_3rd_Season
434,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,やはり俺の青春ラブコメはまちがっている。続,8.2,741899,1152903,2015,Comedy|Romance,https://myanimelist.net/anime/23847/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Zoku
425,InuYasha: Kanketsu-hen,犬夜叉 完結編,8.2,152672,304397,2009,Action|Adventure|Fantasy|Romance,https://myanimelist.net/anime/6811/InuYasha__Kanketsu-hen
427,Kuroko no Basket 2nd Season,黒子のバスケ,8.2,584803,922056,2013,Sports,https://myanimelist.net/anime/16894/Kuroko_no_Basket_2nd_Season
436,xxxHOLiC◆Kei,×××HOLiC◆継,8.2,70025,154653,2008,Comedy|Drama|Mystery|Supernatural,https://myanimelist.net/anime/3091/xxxHOLiC◆Kei
430,Major S1,メジャー （第1シリーズ）,8.2,53981,107745,2004,Sports,https://myanimelist.net/anime/627/Major_S1
424,Fruits Basket 1st Season,フルーツバスケット,8.2,446088,937581,2019,Drama|Romance|Supernatural,https://myanimelist.net/anime/38680/Fruits_Basket_1st_Season
431,Spy x Family Part 2,SPY×FAMILY,8.2,608727,1116693,2022,Action|Comedy,https://myanimelist.net/anime/50602/Spy_x_Family_Part_2
433,SKET Dance,スケットダンス,8.2,88282,237464,2011,Comedy,https://myanimelist.net/anime/9863/SKET_Dance
426,Kobayashi-san Chi no Maid Dragon S,小林さんちのメイドラゴンS,8.2,307025,607917,2021,Slice of Life|Supernatural,https://myanimelist.net/anime/39247/Kobayashi-san_Chi_no_Maid_Dragon_S
428,Magi: The Kingdom of Magic,マギ The kingdom of magic,8.2,482119,893738,2013,Action|Adventure|Fantasy,https://myanimelist.net/anime/18115/Magi__The_Kingdom_of_Magic
446,Sono Bisque Doll wa Koi wo Suru Season 2,その着せ替え人形は恋をする Season 2,8.19,187443,442996,2025,Romance,https://myanimelist.net/anime/53065/Sono_Bisque_Doll_wa_Koi_wo_Suru_Season_2
443,Asobi Asobase,あそびあそばせ,8.19,249916,530842,2018,Comedy,https://myanimelist.net/anime/37171/Asobi_Asobase
439,Senki Zesshou Symphogear XV,戦姫絶唱シンフォギアXV,8.19,15815,43882,2019,Action|Sci-Fi,https://myanimelist.net/anime/32843/Senki_Zesshou_Symphogear_XV
442,Great Pretender,GREAT PRETENDER,8.19,354885,741381,2020,Action|Adventure|Mystery,https://myanimelist.net/anime/40052/Great_Pretender
447,Vanitas no Karte Part 2,ヴァニタスの手記,8.19,149047,341199,2022,Action|Fantasy|Mystery,https://myanimelist.net/anime/49114/Vanitas_no_Karte_Part_2
463,Ore dake Level Up na Ken,俺だけレベルアップな件,8.18,686573,1107250,2024,Action|Adventure|Fantasy,https://myanimelist.net/anime/52299/Ore_dake_Level_Up_na_Ken
458,K-On!!,けいおん!!,8.18,411448,748169,2010,Award Winning|Comedy,https://myanimelist.net/anime/7791/K-On
450,Fate/stay night: Unlimited Blade Works,Fate/stay night [Unlimited Blade Works],8.18,725981,1166331,2014,Action|Fantasy,https://myanimelist.net/anime/22297/Fate_stay_night__Unlimited_Blade_Works
462,Nomad: Megalo Box 2,NOMAD メガロボクス2,8.18,91417,229265,2021,Sci-Fi|Sports,https://myanimelist.net/anime/40729/Nomad__Megalo_Box_2
460,Major S4,メジャー　（第4シリーズ),8.18,42853,69471,2008,Sports,https://myanimelist.net/anime/3226/Major_S4
455,Hachimitsu to Clover II,ハチミツとクローバー II,8.18,56431,124253,2006,Drama|Romance,https://myanimelist.net/anime/1142/Hachimitsu_to_Clover_II
453,Horimiya,ホリミヤ,8.18,980730,1612350,2021,Romance,https://myanimelist.net/anime/42897/Horimiya
464,Sasaki to Miyano,佐々木と宮野,8.18,106050,233909,2022,Boys Love,https://myanimelist.net/anime/44055/Sasaki_to_Miyano
480,Seishun Buta Yarou wa Santa Claus no Yume wo Minai,青春ブタ野郎はサンタクロースの夢を見ない,8.17,63591,202400,2025,Drama|Romance|Supernatural,https://myanimelist.net/anime/57433/Seishun_Buta_Yarou_wa_Santa_Claus_no_Yume_wo_Minai
471,Yuusha-kei ni Shosu: Choubatsu Yuusha 9004-tai Keimu Kiroku,勇者刑に処す 懲罰勇者9004隊刑務記録,8.17,41964,233433,2026,Action|Adventure|Fantasy,https://myanimelist.net/anime/56009/Yuusha-kei_ni_Shosu__Choubatsu_Yuusha_9004-tai_Keimu_Kiroku
483,Chihayafuru,ちはやふる,8.17,194298,493552,2011,Drama|Romance|Sports,https://myanimelist.net/anime/10800/Chihayafuru
475,Little Busters! Refrain,リトルバスターズ！～Refrain～,8.17,81135,176178,2013,Comedy|Drama|Romance,https://myanimelist.net/anime/18195/Little_Busters_Refrain
466,Bakuman.,バクマン。,8.17,309946,654718,2010,Comedy|Drama|Romance,https://myanimelist.net/anime/7674/Bakuman
468,Black Lagoon: The Second Barrage,BLACK LAGOON The Second Barrage,8.17,339922,571407,2006,Action,https://myanimelist.net/anime/1519/Black_Lagoon__The_Second_Barrage
477,Yuukoku no Moriarty,憂国のモリアーティ,8.17,208076,502543,2020,Mystery|Suspense,https://myanimelist.net/anime/40911/Yuukoku_no_Moriarty
482,Major S2,メジャー (第2シリーズ),8.17,47721,76384,2006,Sports,https://myanimelist.net/anime/558/Major_S2
478,Non Non Biyori Repeat,のんのんびより りぴーと,8.17,107004,212876,2015,Slice of Life,https://myanimelist.net/anime/23623/Non_Non_Biyori_Repeat
466,Initial D Fourth Stage,頭文字〈イニシャル〉D FOURTH STAGE,8.17,118360,212814,2004,Action|Drama,https://myanimelist.net/anime/18/Initial_D_Fourth_Stage
480,Ballroom e Youkoso,ボールルームへようこそ,8.17,159634,361021,2017,Sports,https://myanimelist.net/anime/34636/Ballroom_e_Youkoso
492,Kuroshitsuji: Midori no Majo-hen,黒執事 -緑の魔女編-,8.16,24401,70629,2025,Action|Mystery|Supernatural,https://myanimelist.net/anime/59228/Kuroshitsuji__Midori_no_Majo-hen
487,Ao no Hako,アオのハコ,8.16,145011,317962,2024,Romance|Sports,https://myanimelist.net/anime/57181/Ao_no_Hako
489,Bungou Stray Dogs 2nd Season,文豪ストレイドッグス,8.16,541049,946893,2016,Action|Mystery,https://myanimelist.net/anime/32867/Bungou_Stray_Dogs_2nd_Season
488,Aria the Natural,ARIA The NATURAL,8.16,31995,85512,2006,Sci-Fi|Slice of Life,https://myanimelist.net/anime/962/Aria_the_Natural
494,Ouran Koukou Host Club,桜蘭高校ホスト部,8.16,725054,1220852,2006,Comedy|Romance,https://myanimelist.net/anime/853/Ouran_Koukou_Host_Club
490,Higurashi no Naku Koro ni Kai,ひぐらしのなく頃に解,8.16,266777,518272,2007,Horror|Mystery|Suspense,https://myanimelist.net/anime/1889/Higurashi_no_Naku_Koro_ni_Kai
491,Kimetsu no Yaiba: Katanakaji no Sato-hen,鬼滅の刃 刀鍛冶の里編,8.16,664073,1093387,2023,Action|Supernatural,https://myanimelist.net/anime/51019/Kimetsu_no_Yaiba__Katanakaji_no_Sato-hen
496,Dr. Stone: New World,Dr.STONE NEW WORLD,8.15,285092,592558,2023,Adventure|Comedy,https://myanimelist.net/anime/48549/Dr_Stone__New_World
495,Ao Ashi,アオアシ,8.15,128838,253192,2022,Sports,https://myanimelist.net/anime/49052/Ao_Ashi
497,Dr. Stone: Stone Wars,ドクターストーン STONE WARS,8.15,678098,1189456,2021,Adventure|Comedy,https://myanimelist.net/anime/40852/Dr_Stone__Stone_Wars
514,The Fable,ザ・ファブル,8.14,39278,104939,2024,Comedy|Suspense,https://myanimelist.net/anime/55911/The_Fable
515,Toaru Kagaku no Railgun T,とある科学の超電磁砲[レールガン]T,8.14,102841,264718,2020,Action|Fantasy|Sci-Fi,https://myanimelist.net/anime/38481/Toaru_Kagaku_no_Railgun_T
507,Kidou Senshi Gundam: The Origin - Zenya Akai Suisei,機動戦士ガンダム THE ORIGIN 前夜 赤い彗星,8.14,12703,28157,2019,Sci-Fi,https://myanimelist.net/anime/39592/Kidou_Senshi_Gundam__The_Origin_-_Zenya_Akai_Suisei
506,Kaiba,カイバ,8.14,48596,179258,2008,Adventure|Avant Garde|Award Winning|Mystery|Romance|Sci-Fi,https://myanimelist.net/anime/3701/Kaiba
511,Noragami Aragoto,ノラガミ ARAGOTO,8.14,941542,1548957,2015,Action|Supernatural,https://myanimelist.net/anime/30503/Noragami_Aragoto
513,Princess Tutu,プリンセスチュチュ,8.14,70459,184127,2002,Drama|Mystery|Romance,https://myanimelist.net/anime/721/Princess_Tutu
508,Lycoris Recoil,リコリス・リコイル,8.14,286978,587505,2022,Action,https://myanimelist.net/anime/50709/Lycoris_Recoil
503,Black Clover,ブラッククローバー,8.14,972422,1879549,2017,Action|Fantasy,https://myanimelist.net/anime/34572/Black_Clover
524,Horimiya: Piece,ホリミヤ -piece-,8.13,202094,448011,2023,Romance,https://myanimelist.net/anime/54856/Horimiya__Piece
522,IDOLiSH7 Second Beat!,アイドリッシュセブン Second BEAT!,8.13,13050,36105,2020,Drama,https://myanimelist.net/anime/37962/IDOLiSH7_Second_Beat
517,Eizouken ni wa Te wo Dasu na!,映像研には手を出すな!,8.13,148712,367433,2020,Adventure|Award Winning|Comedy,https://myanimelist.net/anime/39792/Eizouken_ni_wa_Te_wo_Dasu_na
530,Nodame Cantabile: Paris-hen,のだめカンタービレ 巴里編,8.13,77814,130260,2008,Comedy|Romance,https://myanimelist.net/anime/4477/Nodame_Cantabile__Paris-hen
524,Kamisama Hajimemashita,神様はじめました,8.13,370718,722446,2012,Comedy|Romance|Supernatural,https://myanimelist.net/anime/14713/Kamisama_Hajimemashita
516,Death Parade,デス・パレード,8.13,1077848,1906492,2015,Drama|Fantasy|Suspense,https://myanimelist.net/anime/28223/Death_Parade
523,Golden Kamuy 4th Season,ゴールデンカムイ,8.13,46498,119664,2022,Action|Adventure,https://myanimelist.net/anime/50528/Golden_Kamuy_4th_Season
528,Sono Bisque Doll wa Koi wo Suru,その着せ替え人形は恋をする,8.13,794251,1297582,2022,Romance,https://myanimelist.net/anime/48736/Sono_Bisque_Doll_wa_Koi_wo_Suru
517,Tensei shitara Slime Datta Ken,転生したらスライムだった件,8.13,982333,1622537,2018,Action|Comedy|Fantasy,https://myanimelist.net/anime/37430/Tensei_shitara_Slime_Datta_Ken
537,Shinigami Bocchan to Kuro Maid 3rd Season,死神坊ちゃんと黒メイド 第3期,8.12,26914,69327,2024,Comedy|Fantasy|Romance,https://myanimelist.net/anime/56738/Shinigami_Bocchan_to_Kuro_Maid_3rd_Season
532,Boku no Hero Academia 7th Season,僕のヒーローアカデミア 第7期,8.12,214260,462391,2024,Action,https://myanimelist.net/anime/54789/Boku_no_Hero_Academia_7th_Season
532,Lupin III: Part 5,ルパン三世 PART5,8.12,18269,48761,2018,Action|Adventure|Comedy|Mystery,https://myanimelist.net/anime/35857/Lupin_III__Part_5
541,Seirei no Moribito,精霊の守り人,8.12,80295,234313,2007,Action|Adventure|Fantasy,https://myanimelist.net/anime/1827/Seirei_no_Moribito
531,Katekyou Hitman Reborn!,家庭教師ヒットマンREBORN!,8.12,269394,584930,2006,Action|Comedy,https://myanimelist.net/anime/1604/Katekyou_Hitman_Reborn
531,Blue Lock,ブルーロック,8.12,487651,879068,2022,Sports,https://myanimelist.net/anime/49596/Blue_Lock
533,Nisemonogatari,偽物語,8.12,452185,770872,2012,Comedy|Mystery|Supernatural|Ecchi,https://myanimelist.net/anime/11597/Nisemonogatari
535,Fullmetal Alchemist,鋼の錬金術師,8.12,928910,1549843,2003,Action|Adventure|Award Winning|Drama|Fantasy,https://myanimelist.net/anime/121/Fullmetal_Alchemist
540,Ookami to Koushinryou: Merchant Meets the Wise Wolf,狼と香辛料 MERCHANT MEETS THE WISE WOLF,8.12,83977,257166,2024,Adventure|Drama|Romance|Supernatural,https://myanimelist.net/anime/51122/Ookami_to_Koushinryou__Merchant_Meets_the_Wise_Wolf
561,Silent Witch: Chinmoku no Majo no Kakushigoto,サイレント・ウィッチ 沈黙の魔女の隠しごと,8.11,99622,202852,2025,Fantasy,https://myanimelist.net/anime/59459/Silent_Witch__Chinmoku_no_Majo_no_Kakushigoto
554,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,ジョジョの奇妙な冒険 スターダストクルセイダース,8.11,955800,1352392,2014,Action|Adventure,https://myanimelist.net/anime/20899/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders
552,Hinamatsuri,ヒナまつり,8.11,268204,552304,2018,Comedy,https://myanimelist.net/anime/36296/Hinamatsuri
555,Kuragehime,海月姫,8.11,119354,263117,2010,Comedy,https://myanimelist.net/anime/8129/Kuragehime
549,Diamond no Ace,ダイヤのA[エース],8.11,123325,264408,2013,Sports,https://myanimelist.net/anime/18689/Diamond_no_Ace
553,Initial D Fifth Stage,頭文字 D Fifth Stage,8.11,89036,170871,2012,Action|Drama,https://myanimelist.net/anime/15059/Initial_D_Fifth_Stage
547,Fumetsu no Anata e Season 2,不滅のあなたへ Season2,8.11,133832,334825,2022,Adventure|Drama|Supernatural,https://myanimelist.net/anime/49709/Fumetsu_no_Anata_e_Season_2
548,Gankutsuou,巌窟王,8.11,78800,269065,2004,Award Winning|Drama|Mystery|Sci-Fi|Supernatural|Suspense,https://myanimelist.net/anime/239/Gankutsuou
560,Shokugeki no Souma,食戟のソーマ,8.11,1051870,1739461,2015,Gourmet|Ecchi,https://myanimelist.net/anime/28171/Shokugeki_no_Souma
563,Buddy Daddies,Buddy Daddies,8.1,158641,349380,2023,Action|Comedy,https://myanimelist.net/anime/53411/Buddy_Daddies
567,Tsurune: Tsunagari no Issha,ツルネ ―つながりの一射―,8.1,21300,67975,2023,Sports,https://myanimelist.net/anime/52826/Tsurune__Tsunagari_no_Issha
572,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su",シャングリラ・フロンティア～クソゲーハンター、神ゲーに挑まんとす～,8.1,232770,448108,2023,Action|Adventure|Fantasy,https://myanimelist.net/anime/52347/Shangri-La_Frontier__Kusoge_Hunter_Kamige_ni_Idoman_to_su
573,Skip to Loafer,スキップとローファー,8.1,157678,337998,2023,Drama,https://myanimelist.net/anime/50416/Skip_to_Loafer
565,Kidou Senshi Gundam 00,機動戦士ガンダム00,8.1,127258,233534,2007,Drama|Sci-Fi,https://myanimelist.net/anime/2581/Kidou_Senshi_Gundam_00
585,City The Animation,CITY THE ANIMATION,8.09,26218,83360,2025,Comedy,https://myanimelist.net/anime/59898/City_The_Animation
579,Durarara!!,デュラララ!!,8.09,689331,1484416,2010,Action|Mystery|Supernatural,https://myanimelist.net/anime/6746/Durarara
583,Gin no Saji,銀の匙,8.09,138329,312123,2013,Comedy,https://myanimelist.net/anime/16918/Gin_no_Saji
583,Jigokuraku,地獄楽,8.09,507772,924064,2023,Action|Adventure|Supernatural,https://myanimelist.net/anime/46569/Jigokuraku
590,Paripi Koumei,パリピ孔明,8.09,159049,328242,2022,Comedy,https://myanimelist.net/anime/50380/Paripi_Koumei
584,Kono Subarashii Sekai ni Shukufuku wo!,この素晴らしい世界に祝福を！,8.09,1374758,2132853,2016,Adventure|Comedy|Fantasy,https://myanimelist.net/anime/30831/Kono_Subarashii_Sekai_ni_Shukufuku_wo
598,Make Heroine ga Oosugiru!,負けヒロインが多すぎる！,8.08,169377,321889,2024,Comedy|Romance,https://myanimelist.net/anime/57524/Make_Heroine_ga_Oosugiru
601,Zankyou no Terror,残響のテロル,8.08,666447,1271397,2014,Mystery|Suspense,https://myanimelist.net/anime/23283/Zankyou_no_Terror
594,Hikaru no Go,ヒカルの碁,8.08,66621,149282,2001,Comedy|Drama|Supernatural,https://myanimelist.net/anime/135/Hikaru_no_Go
605,BanG Dream! Ave Mujica,BanG Dream! Ave Mujica,8.07,14313,34906,2025,Drama,https://myanimelist.net/anime/56653/BanG_Dream_Ave_Mujica
615,Skip Beat!,スキップ・ビート！,8.07,146927,285681,2008,Comedy|Drama|Romance,https://myanimelist.net/anime/4722/Skip_Beat
615,Kidou Senshi Gundam 00 Second Season,機動戦士ガンダム00 セカンドシーズン,8.07,99150,160888,2008,Drama|Sci-Fi,https://myanimelist.net/anime/3927/Kidou_Senshi_Gundam_00_Second_Season
613,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,本好きの下剋上 ～司書になるためには手段を選んでいられません～ 第2期,8.07,146748,249894,2020,Fantasy,https://myanimelist.net/anime/40815/Honzuki_no_Gekokujou__Shisho_ni_Naru_Tame_ni_wa_Shudan_wo_Erandeiraremasen_2nd_Season
603,Azumanga Daiou The Animation,あずまんが大王 THE ANIMATION,8.07,181674,421152,2002,Comedy,https://myanimelist.net/anime/66/Azumanga_Daiou_The_Animation
614,Kanata no Astra,彼方のアストラ,8.07,161077,342407,2019,Adventure|Award Winning|Mystery|Sci-Fi|Suspense,https://myanimelist.net/anime/39198/Kanata_no_Astra
613,Kimi wa Houkago Insomnia,君は放課後インソムニア,8.07,106226,271024,2023,Romance,https://myanimelist.net/anime/50796/Kimi_wa_Houkago_Insomnia
603,Uchouten Kazoku 2,有頂天家族2,8.07,27432,69105,2017,Drama|Supernatural,https://myanimelist.net/anime/34076/Uchouten_Kazoku_2
602,Ansatsu Kyoushitsu,暗殺教室,8.07,1294059,2196203,2015,Action|Comedy,https://myanimelist.net/anime/24833/Ansatsu_Kyoushitsu
632,Shoushimin Series 2nd Season,小市民シリーズ 第2期,8.06,23760,53895,2025,Mystery,https://myanimelist.net/anime/59828/Shoushimin_Series_2nd_Season
630,Spy x Family Season 2,SPY×FAMILY Season 2,8.06,327432,663742,2023,Action|Comedy,https://myanimelist.net/anime/53887/Spy_x_Family_Season_2
622,Kidou Senshi Gundam: Tekketsu no Orphans,機動戦士ガンダム 鉄血のオルフェンズ,8.06,134859,271025,2015,Drama|Sci-Fi,https://myanimelist.net/anime/31251/Kidou_Senshi_Gundam__Tekketsu_no_Orphans
634,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,本好きの下剋上 ～司書になるためには手段を選んでいられません～ 第3期,8.06,94185,191162,2022,Fantasy,https://myanimelist.net/anime/42429/Honzuki_no_Gekokujou__Shisho_ni_Naru_Tame_ni_wa_Shudan_wo_Erandeiraremasen_3rd_Season
622,Kuroshitsuji: Book of Circus,黒執事 Book of Circus,8.06,231522,440912,2014,Action|Mystery|Supernatural,https://myanimelist.net/anime/22145/Kuroshitsuji__Book_of_Circus
628,Overlord IV,オーバーロード IV,8.06,320267,627027,2022,Action|Adventure|Fantasy,https://myanimelist.net/anime/48895/Overlord_IV
628,Shokugeki no Souma: Ni no Sara,食戟のソーマ 弍ノ皿,8.06,759525,1201183,2016,Gourmet|Ecchi,https://myanimelist.net/anime/32282/Shokugeki_no_Souma__Ni_no_Sara
638,Enen no Shouboutai: San no Shou Part 2,炎炎ノ消防隊 参ノ章 第2クール,8.05,15236,152398,2026,Action|Fantasy|Sci-Fi,https://myanimelist.net/anime/59229/Enen_no_Shouboutai__San_no_Shou_Part_2
641,Karasu wa Aruji wo Erabanai,烏は主を選ばない,8.05,18943,59951,2024,Drama|Fantasy,https://myanimelist.net/anime/56980/Karasu_wa_Aruji_wo_Erabanai
648,NieR:Automata Ver1.1a Part 2,NieR:Automata Ver1.1a 第2クール,8.05,37637,108697,2024,Action|Fantasy|Sci-Fi,https://myanimelist.net/anime/56063/NieR_Automata_Ver11a_Part_2
635,Angel Beats!,Angel Beats!（エンジェルビーツ!）,8.05,1342271,2189546,2010,Drama|Fantasy,https://myanimelist.net/anime/6547/Angel_Beats
644,Mahoutsukai no Yome,魔法使いの嫁,8.05,423025,1010655,2017,Drama|Fantasy|Romance,https://myanimelist.net/anime/35062/Mahoutsukai_no_Yome
637,Durarara!!x2 Ketsu,デュラララ!!×2 結,8.05,196235,400895,2016,Action|Mystery|Supernatural,https://myanimelist.net/anime/27833/Durararax2_Ketsu
636,Boku no Hero Academia 2nd Season,僕のヒーローアカデミア,8.05,1841415,2712000,2017,Action,https://myanimelist.net/anime/33486/Boku_no_Hero_Academia_2nd_Season
641,Hyouka,氷菓,8.05,686176,1470150,2012,Mystery|Slice of Life,https://myanimelist.net/anime/12189/Hyouka
