rank,title,title_jp,score,scored_by,members,year,genres,url
126,Natsume Yuujinchou Go,夏目友人帳 伍,8.56,83277,204701,2016,Slice of Life|Supernatural,https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go
127,Natsume Yuujinchou San,夏目友人帳 参,8.56,126482,271139,2011,Slice of Life|Supernatural,https://myanimelist.net/anime/10379/Natsume_Yuujinchou_San
124,Haikyuu!! To the Top Part 2,ハイキュー TO THE TOP 第2クール,8.56,548630,918691,2020,Sports,https://myanimelist.net/anime/40776/Haikyuu_To_the_Top_Part_2
133,Kaoru Hana wa Rin to Saku,薫る花は凛と咲く,8.55,200905,420757,2025,Drama|Romance,https://myanimelist.net/anime/59845/Kaoru_Hana_wa_Rin_to_Saku
129,Chiikawa,ちいかわ,8.55,5468,18333,2022,Slice of Life,https://myanimelist.net/anime/50250/Chiikawa
133,Steins;Gate 0,シュタインズ・ゲート ゼロ,8.55,470115,947714,2018,Drama|Sci-Fi|Suspense,https://myanimelist.net/anime/30484/Steins_Gate_0
134,Yojouhan Shinwa Taikei,四畳半神話大系,8.55,155974,491345,2010,Award Winning|Comedy|Mystery|Romance|Suspense,https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei
144,[Oshi no Ko],【推しの子】,8.54,607711,1027759,2023,Award Winning|Drama,https://myanimelist.net/anime/52034/Oshi_no_Ko
143,Shouwa Genroku Rakugo Shinjuu,昭和元禄落語心中,8.54,99328,312778,2016,Drama,https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu
142,Shingeki no Kyojin Season 2,進撃の巨人 Season2,8.54,2045911,2990348,2017,Action|Drama|Suspense,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2
139,Fate/Zero 2nd Season,フェイト/ゼロ 2ndシーズン,8.54,753034,1188884,2012,Action|Fantasy,https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season
147,Zoku Natsume Yuujinchou,続 夏目友人帳,8.53,133834,265590,2009,Slice of Life|Supernatural,https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou
147,Fruits Basket 2nd Season,フルーツバスケット 2nd season,8.53,300011,578907,2020,Drama|Romance|Supernatural,https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season
149,Dr. Stone: Science Future Part 2,Dr.STONE SCIENCE FUTURE 第2クール,8.52,102338,208010,2025,Adventure|Comedy,https://myanimelist.net/anime/61322/Dr_Stone__Science_Future_Part_2
153,[Oshi no Ko] 2nd Season,【推しの子】第2期,8.52,247102,501766,2024,Drama,https://myanimelist.net/anime/55791/Oshi_no_Ko_2nd_Season
148,Bakuman. 3rd Season,バクマン。,8.52,202976,346883,2012,Comedy|Drama|Romance,https://myanimelist.net/anime/12365/Bakuman_3rd_Season
152,Samurai Champloo,サムライチャンプルー,8.52,682345,1341166,2004,Action|Adventure|Comedy,https://myanimelist.net/anime/205/Samurai_Champloo
155,Fate/strange Fake,Fate/strange Fake,8.51,18461,138385,2026,Action|Fantasy,https://myanimelist.net/anime/55830/Fate_strange_Fake
