title,title_jp,title_cn,year,genre,mal_score,mal_rank,mal_votes,mal_percentile,imdb_score,imdb_rank,imdb_votes,imdb_percentile,bgm_score,bgm_rank,bgm_votes,bgm_percentile
Tensei shitara Slime Datta Ken 2nd Season Part 2,転生したらスライムだった件,,2021,Action|Comedy|Fantasy,8.29,185,520149,54.0,,,,,,,,
Beck,ベック,,2004,Drama|Action|Adventure,8.29,184,150308,54.25,8.2,195.0,89694.0,24.51,,,,
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,あの日見た花の名前を僕達はまだ知らない。,我们仍未知道那天所看见的花的名字。,2011,Drama|Supernatural|Action|Adventure,8.29,183,1031056,54.5,8.2,194.0,13708.0,24.9,7.6,183.0,26312.0,29.46
Naruto: Shippuuden,-ナルト- 疾風伝,火影忍者疾风传,2007,Action|Adventure|Fantasy,8.29,182,1807771,54.75,8.7,44.0,217277.0,83.27,7.6,185.0,7643.0,28.68
Yuukoku no Moriarty Part 2,憂国のモリアーティ,,2021,Mystery|Suspense|Adventure|Drama,8.29,181,136180,55.0,8.3,168.0,12515.0,35.02,,,,
Diamond no Ace: Act II,ダイヤのA[エース] actII,,2019,Sports|Comedy|Sport,8.28,192,50588,52.25,8.3,172.0,411.0,33.46,,,,
Kino no Tabi: The Beautiful World,キノの旅 -the Beautiful World-,奇诺之旅,2003,Adventure|Drama|Fantasy,8.28,193,105453,52.0,8.3,171.0,3655.0,33.85,8.1,89.0,5176.0,65.89
Gin no Saji 2nd Season,銀の匙,,2014,Comedy|Action|Adventure,8.27,194,94382,51.75,9.1,4.0,691912.0,98.83,,,,
"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su 2nd Season",シャングリラ・フロンティア～クソゲーハンター、神ゲーに挑まんとす～ 2nd season,,2024,Action|Adventure|Fantasy,8.26,201,126450,50.0,,,,,,,,
Kage no Jitsuryokusha ni Naritakute! 2nd Season,陰の実力者になりたくて！ 2nd Season,想要成为影之实力者！ 第二季,2023,Action|Comedy|Fantasy|Adventure,8.26,203,291710,49.5,7.7,242.0,13938.0,6.23,7.3,240.0,9724.0,7.36
Space☆Dandy 2nd Season,スペース☆ダンディ 第2シリーズ,太空丹迪 第二季,2014,Comedy|Sci-Fi|Drama|Sport,8.26,202,95600,49.75,8.6,58.0,6003.0,77.82,8.2,57.0,3651.0,78.29
Dororo,どろろ,Endro~！,2019,Action|Adventure|Fantasy,8.26,200,695014,50.25,8.2,208.0,28462.0,19.46,7.2,245.0,2806.0,5.43
Yuru Camp△,ゆるキャン△,摇曳露营△,2018,Slice of Life,8.26,197,238388,51.0,,,,,8.2,55.0,16679.0,79.07
Shirobako,SHIROBAKO,白箱,2014,Award Winning|Comedy|Drama|Action|Adventure,8.26,198,149169,50.75,9.1,5.0,691912.0,98.44,8.7,11.0,22390.0,96.12
Gyakkyou Burai Kaiji: Ultimate Survivor,逆境無頼カイジ Ultimate Survivor,赌博默示录,2007,Suspense,8.26,199,177263,50.5,,,,,7.9,126.0,6317.0,51.55
Dr. Stone,ドクターストーン,,2019,Adventure|Comedy|Action,8.26,196,1169309,51.25,8.1,214.0,41227.0,17.12,,,,
Fate/Zero,フェイト/ゼロ,,2011,Action|Fantasy|Adventure,8.26,195,909239,51.5,7.9,234.0,31898.0,9.34,,,,
Dr. Stone: Science Future,Dr.STONE SCIENCE FUTURE,石纪元 科学与未来,2025,Adventure|Comedy|Action,8.25,206,140332,48.75,7.5,245.0,15437.0,5.06,7.3,237.0,2719.0,8.53
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Yakusai-hen,ダンジョンに出会いを求めるのは間違っているだろうかⅣ深章 厄災篇,在地下城寻求邂逅是否搞错了什么 第四季 深章 灾厄篇,2023,Action|Adventure|Fantasy,8.25,204,153788,49.25,,,,,7.2,244.0,3451.0,5.81
Nodame Cantabile,のだめカンタービレ,交响情人梦,2007,Comedy|Romance|Drama,8.25,205,134164,49.0,8.5,81.0,8862.0,68.87,8.0,93.0,2778.0,64.34
Jigokuraku 2nd Season,地獄楽第二期,,2026,Action|Adventure|Supernatural|Drama|History,8.24,217,31159,46.0,8.3,176.0,1303.0,31.91,,,,
Golden Kamuy 2nd Season,ゴールデンカムイ,黄金神威 第二季,2018,Action|Adventure,8.24,216,128317,46.25,8.0,228.0,3473.0,11.67,7.7,145.0,3330.0,44.19
Gyakkyou Burai Kaiji: Hakairoku-hen,逆境無頼カイジ 破戒録篇,赌博默示录 破戒录篇,2011,Suspense|Action|Adventure,8.24,215,116887,46.5,8.4,119.0,4032.0,54.09,7.8,131.0,4353.0,49.61
Kamisama Hajimemashita◎,神様はじめました◎,,2015,Comedy|Romance|Supernatural|Adventure|Drama,8.24,214,247322,46.75,8.1,219.0,39436.0,15.18,,,,
Shinsekai yori,新世界より,来自新世界,2012,Drama|Fantasy|Horror|Mystery|Sci-Fi|Suspense|Action|Comedy,8.24,213,288732,47.0,8.7,43.0,4045.0,83.66,8.1,73.0,14768.0,72.09
World Trigger 3rd Season,ワールドトリガー,,2021,Action|Sci-Fi|Drama|Fantasy,8.24,207,54660,48.5,8.4,122.0,39704.0,52.92,,,,
Kono Subarashii Sekai ni Shukufuku wo! 2,この素晴らしい世界に祝福を！ 2,为美好的世界献上祝福！ 第二季,2017,Adventure|Comedy|Fantasy|Drama,8.24,212,1085606,47.25,8.1,217.0,39438.0,15.95,7.7,144.0,18021.0,44.57
Planetes,プラネテス,星空清理者,2003,Award Winning|Drama|Romance|Sci-Fi|Crime,8.24,211,82763,47.5,8.7,42.0,67444.0,84.05,8.1,74.0,3661.0,71.71
IDOLiSH7 Third Beat!,アイドリッシュセブン Third BEAT!,,2021,Drama|Fantasy,8.24,210,9226,47.75,8.4,124.0,39704.0,52.14,,,,
Shoujo Shuumatsu Ryokou,少女終末旅行,少女终末旅行,2017,Adventure|Mystery|Sci-Fi|Slice of Life,8.24,209,149927,48.0,,,,,8.1,75.0,16144.0,71.32
Re:Zero kara Hajimeru Isekai Seikatsu,Re:ゼロから始める異世界生活,Re：从零开始的异世界生活,2016,Drama|Fantasy|Suspense|Action,8.24,208,1551690,48.25,8.2,204.0,61388.0,21.01,7.4,220.0,22870.0,15.12
BanG Dream! It's MyGO!!!!!,バンドリ！It's MyGO!!!!!,,2023,Drama,8.23,218,20070,45.75,,,,,8.0,102.0,29903.0,60.85
Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season,機動戦士ガンダム 鉄血のオルフェンズ 第2期,,2016,Drama|Sci-Fi,8.23,219,89438,45.5,,,,,,,,
Danshi Koukousei no Nichijou,男子高校生の日常,男子高中生的日常,2012,Comedy,8.23,220,440082,45.25,,,,,7.9,115.0,21865.0,55.81
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,青春ブタ野郎はバニーガール先輩の夢を見ない,青春猪头少年不会梦到兔女郎学姐,2018,Drama|Romance|Supernatural|Fantasy,8.23,221,1227185,45.0,8.0,223.0,24840.0,13.62,7.4,218.0,23427.0,15.89
Gachiakuta,ガチアクタ,,2025,Action|Fantasy|Adventure,8.22,225,188448,44.0,8.0,224.0,11329.0,13.23,,,,
Kaijuu 8-gou,怪獣8号,,2024,Action|Fantasy|Sci-Fi|Adventure,8.22,226,409880,43.75,8.2,202.0,30443.0,21.79,,,,
Nodame Cantabile Finale,のだめカンタービレ フィナーレ,,2010,Comedy|Romance,8.22,222,71945,44.75,,,,,,,,
Kage no Jitsuryokusha ni Naritakute!,陰の実力者になりたくて！,,2022,Action|Comedy|Fantasy|Adventure|Drama,8.22,224,460186,44.25,8.3,169.0,12515.0,34.63,,,,
Boku no Hero Academia 6th Season,僕のヒーローアカデミア,,2022,Action|Adventure,8.22,223,414324,44.5,8.3,153.0,2532.0,40.86,,,,
Seihantai na Kimi to Boku,正反対な君と僕,相反的你和我,2026,Comedy|Romance,8.21,227,21654,43.5,8.2,198.0,438.0,23.35,7.6,189.0,2700.0,27.13
Spy x Family Season 3,SPY×FAMILY Season 3,间谍过家家 第二季,2025,Action|Comedy,8.21,228,112209,43.25,,,,,7.2,243.0,10221.0,6.2
Tengoku Daimakyou,天国大魔境,天国大魔境,2023,Adventure|Mystery|Sci-Fi|Action,8.21,229,287755,43.0,8.1,212.0,26957.0,17.9,7.7,143.0,14498.0,44.96
Boku no Kokoro no Yabai Yatsu,僕の心のヤバイやつ,我心里危险的东西,2023,Comedy|Romance,8.21,230,223959,42.75,,,,,7.8,130.0,14813.0,50.0
Ookami to Koushinryou,狼と香辛料,狼与香辛料,2008,Adventure|Drama|Romance|Supernatural|Action,8.21,231,413374,42.5,8.7,41.0,217277.0,84.44,7.8,133.0,11589.0,48.84
Major S3,メジャー (第3シリーズ),,2007,Sports,8.21,232,45675,42.25,,,,,,,,
Yubisaki to Renren,ゆびさきと恋々,,2024,Romance|Action|Adventure,8.2,244,156371,39.25,6.9,254.0,13257.0,1.56,,,,
Mushoku Tensei II: Isekai Ittara Honki Dasu,無職転生 II ～異世界行ったら本気だす～,,2023,Adventure|Drama|Fantasy|Ecchi,8.2,243,432574,39.5,,,,,,,,
Bungou Stray Dogs 3rd Season,文豪ストレイドッグス 第3期,,2019,Action|Mystery|Adventure,8.2,239,374849,40.5,8.2,203.0,116044.0,21.4,,,,
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,やはり俺の青春ラブコメはまちがっている。続,我的青春恋爱物语果然有问题 续,2015,Comedy|Romance,8.2,233,741899,42.0,,,,,7.4,213.0,18389.0,17.83
InuYasha: Kanketsu-hen,犬夜叉 完結編,犬夜叉 完结篇,2009,Action|Adventure|Fantasy|Romance,8.2,242,152672,39.75,8.7,39.0,217277.0,85.21,7.6,190.0,2797.0,26.74
Kuroko no Basket 2nd Season,黒子のバスケ,,2013,Sports|Action|Adventure,8.2,241,584803,40.0,8.5,84.0,51183.0,67.7,,,,
xxxHOLiC◆Kei,×××HOLiC◆継,×××HOLiC◆继,2008,Comedy|Drama|Mystery|Supernatural,8.2,240,70025,40.25,,,,,7.9,120.0,3101.0,53.88
Major S1,メジャー （第1シリーズ）,,2004,Sports|Crime|Drama,8.2,234,53981,41.75,8.7,32.0,67444.0,87.94,,,,
Fruits Basket 1st Season,フルーツバスケット,,2019,Drama|Romance|Supernatural|Action|Adventure,8.2,238,446088,40.75,8.5,85.0,189010.0,67.32,,,,
Spy x Family Part 2,SPY×FAMILY,间谍过家家 第2部分,2022,Action|Comedy,8.2,237,608727,41.0,8.2,205.0,59803.0,20.62,7.3,235.0,13960.0,9.3
SKET Dance,スケットダンス,,2011,Comedy|Drama,8.2,236,88282,41.25,8.8,20.0,90568.0,92.61,,,,
Kobayashi-san Chi no Maid Dragon S,小林さんちのメイドラゴンS,小林家的龙女仆S,2021,Slice of Life|Supernatural|Comedy|Drama,8.2,235,307025,41.5,8.0,220.0,23523.0,14.79,7.5,195.0,13560.0,24.81
Magi: The Kingdom of Magic,マギ The kingdom of magic,天方魔谭MAGI 第二季,2013,Action|Adventure|Fantasy|Drama,8.2,245,482119,39.0,8.8,21.0,6196.0,92.22,7.2,258.0,2004.0,0.39
Sono Bisque Doll wa Koi wo Suru Season 2,その着せ替え人形は恋をする Season 2,更衣人偶坠入爱河 第二季,2025,Romance,8.19,250,187443,37.75,,,,,7.7,154.0,8120.0,40.7
Asobi Asobase,あそびあそばせ,来玩游戏吧,2018,Comedy|Sport,8.19,249,249916,38.0,8.3,139.0,411.0,46.3,7.6,177.0,5943.0,31.78
Senki Zesshou Symphogear XV,戦姫絶唱シンフォギアXV,,2019,Action|Sci-Fi|Adventure,8.19,246,15815,38.75,8.1,218.0,21994.0,15.56,,,,
Great Pretender,GREAT PRETENDER,大欺诈师,2020,Action|Adventure|Mystery,8.19,247,354885,38.5,,,,,7.2,242.0,4217.0,6.59
Vanitas no Karte Part 2,ヴァニタスの手記,,2022,Action|Fantasy|Mystery|Adventure,8.19,248,149047,38.25,8.6,64.0,219083.0,75.49,,,,
Ore dake Level Up na Ken,俺だけレベルアップな件,,2024,Action|Adventure|Fantasy,8.18,257,686573,36.0,8.5,87.0,104977.0,66.54,,,,
K-On!!,けいおん!!,轻音少女 第二季,2010,Award Winning|Comedy,8.18,255,411448,36.5,,,,,8.4,29.0,23651.0,89.15
Fate/stay night: Unlimited Blade Works,Fate/stay night [Unlimited Blade Works],Fate/stay night [Unlimited Blade Works],2014,Action|Fantasy|Comedy|Drama,8.18,258,725981,35.75,8.5,89.0,48589.0,65.76,7.5,208.0,18953.0,19.77
Nomad: Megalo Box 2,NOMAD メガロボクス2,NOMAD MEGALO BOX 2,2021,Sci-Fi|Sports,8.18,256,91417,36.25,,,,,8.0,104.0,5260.0,60.08
Major S4,メジャー　（第4シリーズ),,2008,Sports,8.18,251,42853,37.5,,,,,,,,
Hachimitsu to Clover II,ハチミツとクローバー II,蜂蜜与四叶草II,2006,Drama|Romance,8.18,254,56431,36.75,,,,,8.5,23.0,4361.0,91.47
Horimiya,ホリミヤ,,2021,Romance|Comedy|Drama,8.18,253,980730,37.0,8.0,222.0,23523.0,14.01,,,,
Sasaki to Miyano,佐々木と宮野,,2022,Boys Love|Action|Comedy,8.18,252,106050,37.25,8.3,145.0,97277.0,43.97,,,,
Seishun Buta Yarou wa Santa Claus no Yume wo Minai,青春ブタ野郎はサンタクロースの夢を見ない,,2025,Drama|Romance|Supernatural,8.17,269,63591,33.0,,,,,,,,
Yuusha-kei ni Shosu: Choubatsu Yuusha 9004-tai Keimu Kiroku,勇者刑に処す 懲罰勇者9004隊刑務記録,,2026,Action|Adventure|Fantasy,8.17,268,41964,33.25,8.4,117.0,2893.0,54.86,,,,
Chihayafuru,ちはやふる,歌牌情缘,2011,Drama|Romance|Sports,8.17,267,194298,33.5,,,,,8.0,112.0,5225.0,56.98
Little Busters! Refrain,リトルバスターズ！～Refrain～,Little Busters! 〜Refrain〜,2013,Comedy|Drama|Romance|Action|Adventure,8.17,266,81135,33.75,8.3,148.0,149296.0,42.8,7.8,137.0,4741.0,47.29
Bakuman.,バクマン。,爆漫王。,2010,Comedy|Drama|Romance,8.17,265,309946,34.0,,,,,8.0,103.0,6924.0,60.47
Black Lagoon: The Second Barrage,BLACK LAGOON The Second Barrage,黑礁 The Second Barrage,2006,Action|Comedy,8.17,264,339922,34.25,8.6,67.0,1849.0,74.32,7.9,129.0,4959.0,50.39
Yuukoku no Moriarty,憂国のモリアーティ,,2020,Mystery|Suspense|Action|Adventure,8.17,259,208076,35.5,7.7,244.0,22844.0,5.45,,,,
Major S2,メジャー (第2シリーズ),,2006,Sports,8.17,263,47721,34.5,,,,,,,,
Non Non Biyori Repeat,のんのんびより りぴーと,悠哉日常大王 Repeat,2015,Slice of Life,8.17,262,107004,34.75,,,,,8.0,95.0,7267.0,63.57
Initial D Fourth Stage,頭文字〈イニシャル〉D FOURTH STAGE,,2004,Action|Drama,8.17,261,118360,35.0,,,,,,,,
Ballroom e Youkoso,ボールルームへようこそ,,2017,Sports|Action|Adventure,8.17,260,159634,35.25,8.3,149.0,44611.0,42.41,,,,
Kuroshitsuji: Midori no Majo-hen,黒執事 -緑の魔女編-,,2025,Action|Mystery|Supernatural|Drama|Sci-Fi,8.16,275,24401,31.5,8.7,34.0,24491.0,87.16,,,,
Ao no Hako,アオのハコ,,2024,Romance|Sports|Adventure|Comedy,8.16,276,145011,31.25,8.0,225.0,13734.0,12.84,,,,
Bungou Stray Dogs 2nd Season,文豪ストレイドッグス,,2016,Action|Mystery,8.16,274,541049,31.75,,,,,,,,
Aria the Natural,ARIA The NATURAL,水星领航员 第二季,2006,Sci-Fi|Slice of Life|Adventure|Comedy,8.16,270,31995,32.75,8.5,91.0,1240.0,64.98,8.3,50.0,2649.0,81.01
Ouran Koukou Host Club,桜蘭高校ホスト部,樱兰高校男公关部,2006,Comedy|Romance,8.16,272,725054,32.25,,,,,7.6,176.0,5565.0,32.17
Higurashi no Naku Koro ni Kai,ひぐらしのなく頃に解,寒蝉鸣泣之时 解,2007,Horror|Mystery|Suspense|Family|History,8.16,273,266777,32.0,8.3,150.0,652.0,42.02,8.1,90.0,12420.0,65.5
Kimetsu no Yaiba: Katanakaji no Sato-hen,鬼滅の刃 刀鍛冶の里編,,2023,Action|Supernatural,8.16,271,664073,32.5,,,,,,,,
Dr. Stone: New World,Dr.STONE NEW WORLD,石纪元 新世界 第2部分,2023,Adventure|Comedy,8.15,279,285092,30.5,,,,,7.4,221.0,3575.0,14.73
Ao Ashi,アオアシ,青之芦苇,2022,Sports|Comedy|Drama,8.15,278,128838,30.75,8.3,166.0,5690.0,35.8,7.4,222.0,2736.0,14.34
Dr. Stone: Stone Wars,ドクターストーン STONE WARS,,2021,Adventure|Comedy|Action,8.15,277,678098,31.0,8.1,216.0,41227.0,16.34,,,,
The Fable,ザ・ファブル,,2024,Comedy|Suspense|Action|Adventure,8.14,281,39278,30.0,8.3,165.0,1110.0,36.19,,,,
Toaru Kagaku no Railgun T,とある科学の超電磁砲[レールガン]T,某科学的超电磁炮T,2020,Action|Fantasy|Sci-Fi|Adventure|Drama,8.14,287,102841,28.5,8.3,164.0,12515.0,36.58,7.6,170.0,12173.0,34.5
Kidou Senshi Gundam: The Origin - Zenya Akai Suisei,機動戦士ガンダム THE ORIGIN 前夜 赤い彗星,,2019,Sci-Fi|Action|Adventure,8.14,286,12703,28.75,8.3,163.0,8449.0,36.96,,,,
Kaiba,カイバ,海马,2008,Adventure|Avant Garde|Award Winning|Mystery|Romance|Sci-Fi,8.14,285,48596,29.0,,,,,8.0,111.0,2314.0,57.36
Noragami Aragoto,ノラガミ ARAGOTO,,2015,Action|Supernatural,8.14,280,941542,30.25,,,,,,,,
Princess Tutu,プリンセスチュチュ,,2002,Drama|Mystery|Romance,8.14,283,70459,29.5,,,,,,,,
Lycoris Recoil,リコリス・リコイル,,2022,Action,8.14,282,286978,29.75,,,,,,,,
Black Clover,ブラッククローバー,,2017,Action|Fantasy|Adventure,8.14,284,972422,29.25,8.2,190.0,47461.0,26.46,,,,
Horimiya: Piece,ホリミヤ -piece-,航海王：粉丝来信,2023,Romance,8.13,288,202094,28.25,,,,,8.6,17.0,3942.0,93.8
IDOLiSH7 Second Beat!,アイドリッシュセブン Second BEAT!,,2020,Drama,8.13,289,13050,28.0,,,,,,,,
Eizouken ni wa Te wo Dasu na!,映像研には手を出すな!,别对映像研出手！,2020,Adventure|Award Winning|Comedy,8.13,296,148712,26.25,,,,,8.1,81.0,8714.0,68.99
Nodame Cantabile: Paris-hen,のだめカンタービレ 巴里編,,2008,Comedy|Romance,8.13,290,77814,27.75,,,,,,,,
Kamisama Hajimemashita,神様はじめました,人类衰退之后,2012,Comedy|Romance|Supernatural,8.13,291,370718,27.5,,,,,7.9,119.0,8863.0,54.26
Death Parade,デス・パレード,,2015,Drama|Fantasy|Suspense,8.13,292,1077848,27.25,,,,,,,,
Golden Kamuy 4th Season,ゴールデンカムイ,,2022,Action|Adventure,8.13,293,46498,27.0,,,,,,,,
Sono Bisque Doll wa Koi wo Suru,その着せ替え人形は恋をする,更衣人偶坠入爱河,2022,Romance|Comedy,8.13,294,794251,26.75,7.9,235.0,24648.0,8.95,7.2,247.0,16163.0,4.65
Tensei shitara Slime Datta Ken,転生したらスライムだった件,,2018,Action|Comedy|Fantasy|Adventure,8.13,295,982333,26.5,8.0,221.0,22734.0,14.4,,,,
Shinigami Bocchan to Kuro Maid 3rd Season,死神坊ちゃんと黒メイド 第3期,,2024,Comedy|Fantasy|Romance,8.12,304,26914,24.25,8.7,33.0,590.0,87.55,,,,
Boku no Hero Academia 7th Season,僕のヒーローアカデミア 第7期,,2024,Action,8.12,303,214260,24.5,,,,,,,,
Lupin III: Part 5,ルパン三世 PART5,,2018,Action|Adventure|Comedy|Mystery,8.12,305,18269,24.0,,,,,,,,
Seirei no Moribito,精霊の守り人,,2007,Action|Adventure|Fantasy,8.12,301,80295,25.0,,,,,,,,
Katekyou Hitman Reborn!,家庭教師ヒットマンREBORN!,家庭教师HITMAN REBORN!,2006,Action|Comedy,8.12,302,269394,24.75,,,,,7.6,172.0,4165.0,33.72
Blue Lock,ブルーロック,,2022,Sports|Comedy|Drama,8.12,297,487651,26.0,8.3,162.0,8252.0,37.35,,,,
Nisemonogatari,偽物語,伪物语,2012,Comedy|Mystery|Supernatural|Ecchi,8.12,300,452185,25.25,,,,,7.9,118.0,14605.0,54.65
Fullmetal Alchemist,鋼の錬金術師,钢之炼金术师,2003,Action|Adventure|Award Winning|Drama|Fantasy,8.12,299,928910,25.5,,,,,8.2,70.0,9718.0,73.26
Ookami to Koushinryou: Merchant Meets the Wise Wolf,狼と香辛料 MERCHANT MEETS THE WISE WOLF,狼与香辛料 行商邂逅贤狼,2024,Adventure|Drama|Romance|Supernatural,8.12,298,83977,25.75,,,,,7.3,234.0,4109.0,9.69
Silent Witch: Chinmoku no Majo no Kakushigoto,サイレント・ウィッチ 沈黙の魔女の隠しごと,,2025,Fantasy,8.11,314,99622,21.75,,,,,,,,
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,ジョジョの奇妙な冒険 スターダストクルセイダース,JOJO的奇妙冒险 星尘斗士,2014,Action|Adventure,8.11,313,955800,22.0,8.5,92.0,51183.0,64.59,8.0,98.0,16944.0,62.4
Hinamatsuri,ヒナまつり,黑社会的超能力女儿,2018,Comedy|Adventure,8.11,312,268204,22.25,8.7,49.0,1013.0,81.32,7.2,251.0,9294.0,3.1
Kuragehime,海月姫,,2010,Comedy,8.11,311,119354,22.5,,,,,,,,
Diamond no Ace,ダイヤのA[エース],,2013,Sports|Action|Adventure,8.11,306,123325,23.75,7.5,249.0,61559.0,3.5,,,,
Initial D Fifth Stage,頭文字 D Fifth Stage,偶像大师,2012,Action|Drama|Sport,8.11,309,89036,23.0,8.4,127.0,1203.0,50.97,8.3,47.0,8350.0,82.17
Fumetsu no Anata e Season 2,不滅のあなたへ Season2,,2022,Adventure|Drama|Supernatural|Action,8.11,310,133832,22.75,9.0,9.0,73293.0,96.89,,,,
Gankutsuou,巌窟王,,2004,Award Winning|Drama|Mystery|Sci-Fi|Supernatural|Suspense|Action|Adventure,8.11,308,78800,23.25,8.5,79.0,85466.0,69.65,,,,
Shokugeki no Souma,食戟のソーマ,食戟之灵,2015,Gourmet|Ecchi|Comedy,8.11,307,1051870,23.5,7.5,250.0,9878.0,3.11,7.2,252.0,8830.0,2.71
Buddy Daddies,Buddy Daddies,,2023,Action|Comedy,8.1,315,158641,21.5,,,,,,,,
Tsurune: Tsunagari no Issha,ツルネ ―つながりの一射―,,2023,Sports|Short|Comedy,8.1,316,21300,21.25,8.5,82.0,95.0,68.48,,,,
"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su",シャングリラ・フロンティア～クソゲーハンター、神ゲーに挑まんとす～,,2023,Action|Adventure|Fantasy|Drama|History,8.1,317,232770,21.0,8.6,69.0,22476.0,73.54,,,,
Skip to Loafer,スキップとローファー,跃动青春,2023,Drama|Action,8.1,318,157678,20.75,8.1,215.0,19622.0,16.73,7.7,160.0,10605.0,38.37
Kidou Senshi Gundam 00,機動戦士ガンダム00,机动战士高达00,2007,Drama|Sci-Fi|Adventure|Comedy,8.1,319,127258,20.5,8.5,90.0,1240.0,65.37,7.6,175.0,6148.0,32.56
City The Animation,CITY THE ANIMATION,小城日常,2025,Comedy,8.09,324,26218,19.25,,,,,7.5,193.0,7675.0,25.58
Durarara!!,デュラララ!!,无头骑士异闻录,2010,Action|Mystery|Supernatural|Adventure,8.09,325,689331,19.0,8.3,160.0,27845.0,38.13,7.9,128.0,13784.0,50.78
Gin no Saji,銀の匙,银之匙 Silver Spoon,2013,Comedy,8.09,323,138329,19.5,,,,,7.9,123.0,5481.0,52.71
Jigokuraku,地獄楽,,2023,Action|Adventure|Supernatural,8.09,320,507772,20.25,8.1,213.0,26957.0,17.51,,,,
Paripi Koumei,パリピ孔明,,2022,Comedy,8.09,321,159049,20.0,,,,,,,,
Kono Subarashii Sekai ni Shukufuku wo!,この素晴らしい世界に祝福を！,为美好的世界献上祝福！,2016,Adventure|Comedy|Fantasy|Crime|Drama,8.09,322,1374758,19.75,8.4,138.0,72748.0,46.69,7.7,159.0,22005.0,38.76
Make Heroine ga Oosugiru!,負けヒロインが多すぎる！,败犬女主太多了！,2024,Comedy|Romance|Action|Fantasy,8.08,326,169377,18.75,6.2,256.0,2512.0,0.78,8.0,91.0,26127.0,65.12
Zankyou no Terror,残響のテロル,,2014,Mystery|Suspense|Action|Adventure,8.08,327,666447,18.5,7.7,238.0,45351.0,7.78,,,,
Hikaru no Go,ヒカルの碁,棋魂,2001,Comedy|Drama|Supernatural|Action,8.08,328,66621,18.25,8.8,25.0,17151.0,90.66,8.3,49.0,4916.0,81.4
BanG Dream! Ave Mujica,BanG Dream! Ave Mujica,,2025,Drama|Sci-Fi,8.07,337,14313,16.0,8.7,54.0,24491.0,79.38,,,,
Skip Beat!,スキップ・ビート！,,2008,Comedy|Drama|Romance,8.07,336,146927,16.25,,,,,,,,
Kidou Senshi Gundam 00 Second Season,機動戦士ガンダム00 セカンドシーズン,机动战士高达00 第二季,2008,Drama|Sci-Fi,8.07,335,99150,16.5,,,,,7.5,202.0,5366.0,22.09
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,本好きの下剋上 ～司書になるためには手段を選んでいられません～ 第2期,,2020,Fantasy,8.07,334,146748,16.75,,,,,,,,
Azumanga Daiou The Animation,あずまんが大王 THE ANIMATION,笑园漫画大王,2002,Comedy,8.07,329,181674,18.0,,,,,7.9,122.0,2502.0,53.1
Kanata no Astra,彼方のアストラ,彼方的阿斯特拉,2019,Adventure|Award Winning|Mystery|Sci-Fi|Suspense|Comedy|Sport,8.07,332,161077,17.25,8.3,158.0,2309.0,38.91,7.4,215.0,3242.0,17.05
Kimi wa Houkago Insomnia,君は放課後インソムニア,放学后失眠的你,2023,Romance|Action|Adventure,8.07,331,106226,17.5,7.5,251.0,15780.0,2.72,7.2,255.0,4786.0,1.55
Uchouten Kazoku 2,有頂天家族2,有顶天家族 第二季,2017,Drama|Supernatural,8.07,333,27432,17.0,,,,,7.8,135.0,3187.0,48.06
Ansatsu Kyoushitsu,暗殺教室,暗杀教室,2015,Action|Comedy,8.07,330,1294059,17.75,7.9,233.0,27380.0,9.73,7.4,212.0,10815.0,18.22
Shoushimin Series 2nd Season,小市民シリーズ 第2期,,2025,Mystery,8.06,338,23760,15.75,,,,,,,,
Spy x Family Season 2,SPY×FAMILY Season 2,进击的巨人 最终季 完结篇 后篇,2023,Action|Comedy,8.06,339,327432,15.5,,,,,7.6,174.0,10091.0,32.95
Kidou Senshi Gundam: Tekketsu no Orphans,機動戦士ガンダム 鉄血のオルフェンズ,,2015,Drama|Sci-Fi|Comedy,8.06,340,134859,15.25,8.5,88.0,48589.0,66.15,,,,
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,本好きの下剋上 ～司書になるためには手段を選んでいられません～ 第3期,,2022,Fantasy,8.06,341,94185,15.0,,,,,,,,
Kuroshitsuji: Book of Circus,黒執事 Book of Circus,,2014,Action|Mystery|Supernatural|Comedy|Drama,8.06,342,231522,14.75,8.5,86.0,48589.0,66.93,,,,
Overlord IV,オーバーロード IV,,2022,Action|Adventure|Fantasy,8.06,343,320267,14.5,,,,,,,,
Shokugeki no Souma: Ni no Sara,食戟のソーマ 弍ノ皿,,2016,Gourmet|Ecchi|Crime|Drama,8.06,344,759525,14.25,8.4,130.0,72748.0,49.81,,,,
Enen no Shouboutai: San no Shou Part 2,炎炎ノ消防隊 参ノ章 第2クール,,2026,Action|Fantasy|Sci-Fi|Comedy|Romance,8.05,352,15236,12.25,8.2,197.0,438.0,23.74,,,,
