title,title_jp,title_cn,year,genre,mal_score,mal_rank,mal_votes,mal_percentile,imdb_score,imdb_rank,imdb_votes,imdb_percentile,bgm_score,bgm_rank,bgm_votes,bgm_percentile
Natsume Yuujinchou Go,夏目友人帳 伍,夏目友人帐 伍,2016,Slice of Life|Supernatural|Comedy,8.56,79,83277,80.5,8.6,62.0,443.0,76.26,7.7,149.0,3850.0,42.64
Natsume Yuujinchou San,夏目友人帳 参,夏目友人帐 叁,2011,Slice of Life|Supernatural|Comedy|Sci-Fi,8.56,80,126482,80.25,8.3,147.0,4385.0,43.19,8.2,63.0,8883.0,75.97
Haikyuu!! To the Top Part 2,ハイキュー TO THE TOP 第2クール,排球少年 TO THE TOP 第二期,2020,Sports,8.56,81,548630,80.0,,,,,7.7,150.0,2999.0,42.25
Kaoru Hana wa Rin to Saku,薫る花は凛と咲く,,2025,Drama|Romance|Comedy,8.55,82,200905,79.75,8.3,167.0,10992.0,35.41,,,,
Chiikawa,ちいかわ,,2022,Slice of Life|Action|Comedy,8.55,83,5468,79.5,8.3,183.0,97266.0,29.18,,,,
Steins;Gate 0,シュタインズ・ゲート ゼロ,命运石之门 0,2018,Drama|Sci-Fi|Suspense|Mystery,8.55,84,470115,79.25,8.4,121.0,14487.0,53.31,8.2,52.0,15222.0,80.23
Yojouhan Shinwa Taikei,四畳半神話大系,四叠半神话大系,2010,Award Winning|Comedy|Mystery|Romance|Suspense|Drama,8.55,85,155974,79.0,8.4,110.0,5700.0,57.59,8.6,14.0,14780.0,94.96
[Oshi no Ko],【推しの子】,【我推的孩子】,2023,Award Winning|Drama|Fantasy,8.54,89,607711,78.0,8.2,206.0,14980.0,20.23,7.4,214.0,19957.0,17.44
Shouwa Genroku Rakugo Shinjuu,昭和元禄落語心中,昭和元禄落语心中,2016,Drama|Comedy,8.54,88,99328,78.25,8.3,180.0,1625.0,30.35,8.1,85.0,3631.0,67.44
Shingeki no Kyojin Season 2,進撃の巨人 Season2,进击的巨人 第二季,2017,Action|Drama|Suspense|Thriller,8.54,86,2045911,78.75,7.7,241.0,22020.0,6.61,8.1,84.0,20716.0,67.83
Fate/Zero 2nd Season,フェイト/ゼロ 2ndシーズン,,2012,Action|Fantasy|Adventure|Comedy,8.54,87,753034,78.5,8.6,72.0,3697.0,72.37,,,,
Zoku Natsume Yuujinchou,続 夏目友人帳,续 夏目友人帐,2009,Slice of Life|Supernatural,8.53,90,133834,77.75,,,,,8.0,110.0,7786.0,57.75
Fruits Basket 2nd Season,フルーツバスケット 2nd season,BanG Dream! 第二季,2020,Drama|Romance|Supernatural|Comedy,8.53,91,300011,77.5,8.5,99.0,12983.0,61.87,7.3,228.0,4068.0,12.02
Dr. Stone: Science Future Part 2,Dr.STONE SCIENCE FUTURE 第2クール,石纪元 科学与未来 第2部分,2025,Adventure|Comedy,8.52,92,102338,77.25,,,,,7.5,200.0,2243.0,22.87
[Oshi no Ko] 2nd Season,【推しの子】第2期,胆大党 第二季,2024,Drama|Fantasy,8.52,93,247102,77.0,8.2,196.0,14980.0,24.12,7.3,229.0,8063.0,11.63
Bakuman. 3rd Season,バクマン。,爆漫王。3,2012,Comedy|Drama|Romance|Action|Adventure,8.52,94,202976,76.75,8.4,113.0,4032.0,56.42,8.3,35.0,5001.0,86.82
Samurai Champloo,サムライチャンプルー,混沌武士,2004,Action|Adventure|Comedy,8.52,95,682345,76.5,8.5,101.0,62899.0,61.09,8.5,19.0,10713.0,93.02
Fate/strange Fake,Fate/strange Fake,Fate/strange Fake,2026,Action|Fantasy|Adventure,8.51,96,18461,76.25,8.3,181.0,1110.0,29.96,7.7,152.0,3640.0,41.47
Gintama. Porori-hen,銀魂。ポロリ編,,2017,Action|Comedy|Sci-Fi|Adventure|Drama,8.51,97,111997,76.0,8.4,118.0,19.0,54.47,,,,
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,攻殻機動隊 S.A.C. 2nd GIG,攻壳机动队 S.A.C. 2nd GIG,2004,Mystery|Sci-Fi|Action|Crime,8.51,98,108975,75.75,8.5,102.0,22272.0,60.7,9.2,1.0,9621.0,100.0
Jujutsu Kaisen,呪術廻戦,,2020,Action|Award Winning|Supernatural|Adventure,8.51,99,1966489,75.5,8.5,104.0,189010.0,59.92,,,,
Grand Blue Season 2,ぐらんぶる Season 2,碧蓝之海 第二季,2025,Comedy|Action|Adventure,8.5,102,82101,74.75,8.3,178.0,51454.0,31.13,7.3,230.0,7970.0,11.24
Yuru Camp△ Season 2,ゆるキャン△ SEASON2,摇曳露营△ 第二季,2021,Slice of Life|Action|Adventure,8.5,103,112414,74.5,8.5,105.0,189010.0,59.53,8.3,39.0,11803.0,85.27
Sora yori mo Tooi Basho,宇宙よりも遠い場所,比宇宙更远的地方,2018,Adventure|Comedy|Drama|Action,8.5,100,234982,75.25,8.5,106.0,64638.0,59.14,8.2,54.0,15143.0,79.46
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,ジョジョの奇妙な冒険 ダイヤモンドは砕けない,JOJO的奇妙冒险 不灭钻石,2016,Action|Adventure|Crime|Drama,8.5,101,865324,75.0,8.4,109.0,72747.0,57.98,7.8,141.0,14736.0,45.74
Mob Psycho 100,モブサイコ100,灵能百分百,2016,Action|Comedy|Supernatural,8.49,104,1408439,74.25,8.5,96.0,64638.0,63.04,7.8,140.0,16250.0,46.12
One Punch Man,ワンパンマン,一拳超人,2015,Action|Comedy,8.48,105,2406214,74.0,8.6,71.0,221886.0,72.76,8.0,100.0,20862.0,61.63
Ousama Ranking,王様ランキング,,2021,Adventure|Fantasy|Action,8.48,106,394988,73.75,8.4,135.0,15460.0,47.86,,,,
Yakusoku no Neverland,約束のネバーランド,约定的梦幻岛,2019,Mystery|Suspense|Action|Adventure,8.47,107,1388607,73.5,8.1,210.0,57146.0,18.68,7.6,179.0,11775.0,31.01
Uchuu Kyoudai,宇宙兄弟,,2012,Comedy,8.47,108,55813,73.25,,,,,,,,
Ansatsu Kyoushitsu 2nd Season,暗殺教室　第２期,暗杀教室 第二季,2016,Action|Comedy,8.47,109,966622,73.0,7.9,230.0,27380.0,10.89,7.7,153.0,7772.0,41.09
Aria the Origination,ARIA The ORIGINATION,水星领航员 第三季,2008,Sci-Fi|Slice of Life|Adventure|Drama,8.47,110,34679,72.75,8.4,125.0,19.0,51.75,8.7,7.0,2766.0,97.67
Nichijou,日常,日常,2011,Comedy,8.47,111,398959,72.5,,,,,8.5,24.0,24512.0,91.09
Rainbow: Nisha Rokubou no Shichinin,RAINBOW 二舎六房の七人,,2010,Drama|Suspense|Comedy,8.46,112,166466,72.25,8.4,123.0,5700.0,52.53,,,,
Summertime Render,サマータイムレンダ,夏日重现,2022,Mystery|Supernatural|Suspense|Short|Action,8.46,113,286181,72.0,8.3,184.0,1970.0,28.79,7.5,201.0,19238.0,22.48
Medalist 2nd Season,メダリスト 第2期,金牌得主,2026,Drama|Sports,8.45,118,4041,70.75,,,,,8.0,105.0,12258.0,59.69
Owarimonogatari,終物語,终物语,2015,Comedy|Mystery|Supernatural|Fantasy,8.45,117,250442,71.0,8.4,115.0,2552.0,55.64,7.8,132.0,8419.0,49.22
Banana Fish,BANANA FISH,战栗杀机,2018,Action|Adventure|Drama|Suspense,8.45,114,411210,71.75,,,,,7.2,248.0,2042.0,4.26
Grand Blue,ぐらんぶる,碧蓝之海,2018,Comedy,8.45,116,478198,71.25,,,,,7.9,125.0,16930.0,51.94
Chihayafuru 3,ちはやふる 3,,2019,Drama|Romance|Sports|Action,8.45,115,70483,71.5,8.7,36.0,101016.0,86.38,,,,
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,ジョジョの奇妙な冒険 スターダストクルセイダース エジプト編,JOJO的奇妙冒险 星尘斗士 埃及篇,2015,Action|Adventure,8.44,119,873285,70.5,,,,,8.2,61.0,17078.0,76.74
Dandadan,ダンダダン,胆大党,2024,Action|Comedy|Supernatural|Adventure,8.43,120,570212,70.25,8.3,175.0,51454.0,32.3,7.5,198.0,15398.0,23.64
Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,Re:ゼロから始める異世界生活 3rd season,Re：从零开始的异世界生活 第三季 袭击篇,2024,Drama|Fantasy|Suspense,8.43,121,216328,70.0,,,,,7.2,256.0,7407.0,1.16
Zoku Owarimonogatari,続・終物語,终物语（下）,2019,Comedy|Mystery|Supernatural|Action|Adventure,8.43,122,120673,69.75,7.7,239.0,22844.0,7.39,8.1,80.0,7625.0,69.38
Chainsaw Man,チェンソーマン,,2022,Action|Fantasy|Comedy,8.43,123,1115297,69.5,8.3,174.0,97277.0,32.68,,,,
Haikyuu!!,ハイキュー!!,排球少年,2014,Sports|Comedy|Drama,8.43,124,1337298,69.25,8.7,50.0,51821.0,80.93,8.1,78.0,9006.0,70.16
Golden Kamuy 3rd Season,ゴールデンカムイ,黄金神威,2020,Action|Adventure,8.43,125,97605,69.0,8.0,229.0,3473.0,11.28,7.5,196.0,4256.0,24.42
Dandadan 2nd Season,ダンダダン 第2期,乱马1/2 第二季,2025,Action|Comedy|Supernatural|Adventure,8.42,131,270806,67.5,8.3,173.0,51454.0,33.07,7.3,236.0,2466.0,8.91
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,Re：ゼロから始める異世界生活 2 part 2,Re：从零开始的异世界生活 第二季,2021,Drama|Fantasy|Suspense|Adventure,8.42,129,624907,68.0,8.6,68.0,2655.0,73.93,7.4,217.0,14534.0,16.28
Kono Oto Tomare! Part 2,この音とまれ！,,2019,Drama,8.42,130,106856,67.75,,,,,,,,
Koukaku Kidoutai: Stand Alone Complex,攻殻機動隊 STAND ALONE COMPLEX,攻壳机动队 STAND ALONE COMPLEX,2002,Award Winning|Mystery|Sci-Fi|Action|Crime,8.42,126,171869,68.75,8.5,78.0,22272.0,70.04,9.1,3.0,11003.0,99.22
Spy x Family,SPY×FAMILY,间谍过家家,2022,Action|Award Winning|Comedy,8.42,128,1147012,68.25,8.2,199.0,59800.0,22.96,7.2,253.0,22223.0,2.33
Bungou Stray Dogs 4th Season,文豪ストレイドッグス,,2023,Action|Mystery,8.42,127,146400,68.5,,,,,,,,
Saiki Kusuo no Ψ-nan,斉木楠雄のΨ難,齐木楠雄的灾难,2016,Comedy|Adventure,8.41,132,692454,67.25,8.9,16.0,1957.0,94.16,7.7,157.0,15346.0,39.53
Saiki Kusuo no Ψ-nan 2,斉木楠雄のΨ難 2,齐木楠雄的灾难 第二季,2018,Comedy|Action|Adventure,8.41,135,427342,66.5,8.1,209.0,57146.0,19.07,7.7,158.0,10902.0,39.15
Mononoke,モノノ怪,物怪,2007,Horror|Mystery|Supernatural|Suspense,8.41,133,105227,67.0,,,,,8.2,59.0,4177.0,77.52
Kimetsu no Yaiba,鬼滅の刃,鬼灭之刃,2019,Action|Award Winning|Supernatural|Adventure,8.41,134,2340075,66.75,8.6,65.0,219083.0,75.1,7.3,238.0,20659.0,8.14
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,辉夜大小姐想让我告白～天才们的恋爱头脑战～,2019,Comedy|Romance|Drama,8.4,136,1202429,66.25,8.5,75.0,28175.0,71.21,7.8,136.0,26295.0,47.67
Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,無職転生 II ～異世界行ったら本気だす～ (第2クール),无职转生 第二季 ～到了异世界就拿出真本事～ 第2部分,2024,Adventure|Drama|Fantasy|Ecchi|Action,8.39,139,320394,65.5,8.2,193.0,35340.0,25.29,7.6,180.0,13206.0,30.62
Houseki no Kuni,宝石の国,宝石之国,2017,Action|Drama|Fantasy|Mystery|Adventure,8.39,137,218213,66.0,8.4,134.0,15460.0,48.25,7.6,188.0,11307.0,27.52
Major S5,メジャー,,2009,Sports,8.39,138,43740,65.75,,,,,,,,
Kaze ga Tsuyoku Fuiteiru,風が強く吹いている,强风吹拂,2018,Drama|Sports|Comedy|Sport,8.38,142,150444,64.75,8.3,186.0,2309.0,28.02,8.4,31.0,10118.0,88.37
Vivy: Fluorite Eye's Song,Vivy -Fluorite Eye's Song- (ヴィヴィ -フローライトアイズソング-),,2021,Action|Sci-Fi|Suspense|Drama|Fantasy,8.38,140,270548,65.25,8.4,132.0,39704.0,49.03,,,,
Mahou Shoujo Madoka★Magica,魔法少女まどか★マギカ,魔法少女小圆,2011,Award Winning|Drama|Suspense|Action|Adventure,8.38,141,811537,65.0,8.2,207.0,13708.0,19.84,8.6,16.0,36965.0,94.19
Golden Kamuy: Saishuushou,ゴールデンカムイ 最終章,,2026,Action|Adventure,8.37,143,4002,64.5,,,,,,,,
Medalist,メダリスト,,2025,Drama|Sports,8.37,144,35992,64.25,,,,,,,,
3-gatsu no Lion,3月のライオン,3月的狮子,2016,Drama|Action|Adventure,8.37,145,299470,64.0,7.7,243.0,45351.0,5.84,8.3,43.0,10701.0,83.72
Haikyuu!! To the Top,ハイキュー!! TO THE TOP,排球少年 TO THE TOP,2020,Sports,8.37,146,642522,63.75,,,,,7.5,194.0,3326.0,25.19
Chihayafuru 2,ちはやふる 2,歌牌情缘 第二季,2013,Drama|Romance|Sports,8.37,147,137859,63.5,,,,,8.2,58.0,3989.0,77.91
Girls Band Cry,ガールズバンドクライ,GIRLS BAND CRY,2024,Drama|Action|Adventure,8.36,151,52955,62.5,7.4,252.0,28111.0,2.33,7.6,186.0,23081.0,28.29
Cross Game,クロスゲーム,,2009,Drama|Romance|Sports|Comedy,8.36,150,53561,62.75,8.8,26.0,90568.0,90.27,,,,
Karakai Jouzu no Takagi-san 3,からかい上手の高木さん3,擅长捉弄的高木同学 第三季,2022,Comedy|Romance,8.36,148,95549,63.25,,,,,8.0,97.0,7828.0,62.79
Barakamon,ばらかもん,元气囝仔,2014,Slice of Life|Comedy|Fantasy,8.36,149,360503,63.0,8.4,129.0,2552.0,50.19,7.7,161.0,4904.0,37.98
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,やはり俺の青春ラブコメはまちがっている。完,,2020,Comedy|Romance,8.35,152,452529,62.25,,,,,,,,
Non Non Biyori Nonstop,のんのんびより のんすとっぷ,悠哉日常大王 Nonstop,2021,Slice of Life,8.35,153,53627,62.0,,,,,8.2,53.0,6032.0,79.84
Fumetsu no Anata e,不滅のあなたへ,,2021,Adventure|Drama|Supernatural,8.35,154,420512,61.75,8.3,182.0,12515.0,29.57,,,,
IDOLiSH7 Third Beat! Part 2,アイドリッシュセブン,,2022,Drama,8.35,155,6072,61.5,,,,,,,,
Baccano!,バッカーノ！,永生之酒,2007,Action|Mystery|Supernatural|Adventure,8.35,156,397870,61.25,8.2,189.0,89694.0,26.85,8.2,51.0,11312.0,80.62
Yofukashi no Uta Season 2,よふかしのうた Season2,彻夜之歌 第二季,2025,Romance|Supernatural|Action|Adventure,8.34,162,84859,59.75,8.0,226.0,11323.0,12.45,7.7,162.0,5148.0,37.6
Hibike! Euphonium 2,響け！ユーフォニアム2,吹响吧！上低音号 第二季,2016,Drama,8.34,161,135437,60.0,,,,,8.5,20.0,17178.0,92.64
86,86―エイティシックス―,86 -不存在的战区- 第2部分,2021,Drama|Sci-Fi|Action,8.34,160,500332,60.25,8.2,192.0,14019.0,25.68,8.0,92.0,14605.0,64.73
Kono Subarashii Sekai ni Shukufuku wo! 3,この素晴らしい世界に祝福を！3,为美好的世界献上祝福！第三季,2024,Adventure|Comedy|Fantasy,8.34,157,233004,61.0,,,,,7.7,164.0,12582.0,36.82
Kimetsu no Yaiba: Mugen Ressha-hen,鬼滅の刃 無限列車編,鬼灭之刃 无限列车篇,2021,Action|Supernatural|Adventure,8.34,159,582692,60.5,8.6,56.0,219083.0,78.6,7.3,239.0,9654.0,7.75
