list_rank,bgm_rank,id,name,name_cn,year,score,votes,tags,url
70,111,113292,ジョジョの奇妙な冒険 スターダストクルセイダース エジプト編,JOJO的奇妙冒险 星尘斗士 埃及篇,2015,8.2,17078,JOJO的奇妙冒险|荒木飞吕彦|热血|JOJO|漫画改|战斗|TV|2015年1月|2015|学姿势|david.production|漫改|奇幻|davidproduction|津田尚克|日本|智斗|david_production|冒险|搞笑|燃|续作|小林靖子|子安武人|JUMP|2015年|大卫社|小野大辅|神作|荒木飛呂彦,https://chii.in/subject/113292
71,112,203526,メイドインアビス,来自深渊,2017,8.2,18248,奇幻|漫画改|冒险|2017年7月|猎奇|来自深渊|TV|治愈|KINEMACITRUS|2017|漫改|致郁|小岛正幸|KINEMA_CITRUS|日本|小島正幸|战斗|神作|青年向|催泪|剧情|2017年|萌|KINEMA.CITRUS|异世界|倉田英之|黄瀬和哉|仓田英之|正太|土笔章人,https://chii.in/subject/203526
73,114,68812,〈物語〉シリーズ セカンドシーズン,物语系列 第二季,2013,8.2,12606,新房昭之|物语系列|西尾维新|SHAFT|轻小说改|2013年7月|TV|神谷浩史|2013|后宫|奇幻|花泽香菜|神前暁|小说改|斋藤千和|物语|轻改|板村智幸|日本|恋爱|校园|吐槽|2013年|神前晓|堀江由衣|搞笑|日常|续作|战斗|井口裕香,https://chii.in/subject/68812
74,115,207195,ゆるキャン△,摇曳露营△,2018,8.2,16679,芳文社|治愈|百合|日常|2018年1月|漫画改|TV|摇曳露营△|C-Station|露营|2018|轻百合|漫改|東山奈央|高桥李依|日本|京極義昭|萌|京极义昭|丰崎爱生|2018年|田中仁|轻百|搞笑|校园|摇曳露营|科普|萌系|美食|东山奈央,https://chii.in/subject/207195
75,116,1856,十二国記,十二国记,2002,8.2,4067,十二国记|小野不由美|奇幻|中国风|2002|TV|巨坑|梁邦彦|史诗|成长|世界观|小说改|神作|麒麟|StudioPierrot|古代|帝王|2002年4月|穿越|轻小说改|异世界|日本|小林常夫|山田章博|ぴえろ|2002年|补旧番|轻改|冒险|小丑社,https://chii.in/subject/1856
76,117,1959,MONSTER,怪物,2004,8.2,4348,浦泽直树|心理|MADHouse|人性|怪物|TV|2004|MONSTER|悬疑|漫画改|冷战|战争|德国|人的生命是平等的|社会主义|2004年4月|漫改|日本|小岛正幸|幻想|神作|剧情|小島正幸|青年向|2004年|长篇|动画|补番|2000s|能登麻美子,https://chii.in/subject/1959
77,119,120791,銀魂°,银魂°,2015,8.2,4588,银魂|搞笑|2015年4月|漫画改|杉田智和|TV|JUMP|SUNRISE|2015|钉宫理惠|让你笑让你哭|人生的意义|阪口大助|灵魂的支柱|漫改|热血|吐槽|战斗|BNPictures|日本|银他妈|日常|续作|BN_Pictures|石田彰|神作|宮脇千鶴|空知英秋|恶搞|吐糟,https://chii.in/subject/120791
78,120,493016,違国日記,异国日记,2026,8.2,2569,2026年1月|漫画改|治愈|日常|TV|牛尾憲輔|朱夏|2026|日本|漫改|文艺|大城美幸|泽城美雪|牛尾宪辅|喜安浩平|亲情|诸星堇|大原沙耶香|诹访部顺一|近藤隆|2026年|沢城みゆき|百合|TVA|神作|出合小都美|2026冬|异国日记|日本动画|女性向,https://chii.in/subject/493016
79,122,55770,進撃の巨人,进击的巨人,2013,8.2,29854,进击的巨人|热血|泽野弘之|漫画改|2013年4月|WITSTUDIO|战斗|TV|Production.I.G|2013|漫改|荒木哲郎|梶裕贵|奇幻|日本|神谷浩史|神作|ProductionI.G|猎奇|燃|剧情|孝哥|谏山创|2013年|2013春|小林靖子|战争|WIT_STUDIO|兵长|井上麻里奈,https://chii.in/subject/55770
80,124,88473,蟲師 特別篇 日蝕む翳,虫师 特別篇 蚀日之翳,2014,8.2,3055,OVA|治愈|蟲師|2014|2014年1月|漫画改|ArtLand|虫师|漆原友纪|长滨博史|奇幻|TV|増田俊郎|漫改|番外|日本|马越嘉彦|剧场版|2014年|長濱博史|漆原友紀|長濵博史|空灵|治愈系|公路片|神作|内涵系|续作|人生|TVSP,https://chii.in/subject/88473
