id,sort,rank,title,rating,rating_count,year,url,genres
tt2560140,popularity,1,Shingeki no kyojin,9.1,691912,2013.0,https://www.imdb.com/title/tt2560140/,Animation|Action|Adventure
tt12343534,popularity,2,Jujutsu Kaisen,8.5,189010,2020.0,https://www.imdb.com/title/tt12343534/,Animation|Action|Adventure
tt22248376,popularity,3,Sôsô no Furîren,8.9,67529,2023.0,https://www.imdb.com/title/tt22248376/,Animation|Adventure|Comedy
tt10233448,popularity,4,Vinland Saga,8.8,128976,2019.0,https://www.imdb.com/title/tt10233448/,Animation|Action|Adventure
tt5626028,popularity,5,Boku no Hîrô Akademia,8.2,116044,2018.0,https://www.imdb.com/title/tt5626028/,Animation|Action|Adventure
tt0877057,popularity,6,Death Note: Desu nôto,8.9,468861,2007.0,https://www.imdb.com/title/tt0877057/,Animation|Crime|Drama
tt9335498,popularity,7,Kimetsu no Yaiba,8.6,219069,2021.0,https://www.imdb.com/title/tt9335498/,Animation|Action|Adventure
tt2098220,popularity,8,Hunter x Hunter,9.0,187509,2016.0,https://www.imdb.com/title/tt2098220/,Animation|Action|Adventure
tt1355642,popularity,9,Hagane no renkinjutsushi,9.1,243125,2009.0,https://www.imdb.com/title/tt1355642/,Animation|Action|Adventure
tt21209876,popularity,10,Ore dake reberu appu na ken,8.5,104977,2024.0,https://www.imdb.com/title/tt21209876/,Animation|Action|Adventure
tt13911284,popularity,11,Jigokuraku,8.1,26957,2023.0,https://www.imdb.com/title/tt13911284/,Animation|Action|Adventure
tt0988824,popularity,12,Naruto: Shippûden,8.7,217267,2009.0,https://www.imdb.com/title/tt0988824/,Animation|Action|Adventure
tt32536168,popularity,13,Yûsha-kei ni Shosu Chôbatsu Yûsha 9004-tai Keimu Kiroku,8.4,2893,2026.0,https://www.imdb.com/title/tt32536168/,Animation|Action|Adventure
tt2359704,popularity,14,JoJo no Kimyô na Bôken,8.5,51183,2012.0,https://www.imdb.com/title/tt2359704/,Animation|Action|Adventure
tt4508902,popularity,15,One Punch Man: Wanpanman,8.6,221886,2015.0,https://www.imdb.com/title/tt4508902/,Animation|Action|Comedy
tt0409591,popularity,16,Naruto,8.4,163390,2005.0,https://www.imdb.com/title/tt0409591/,Animation|Action|Adventure
tt0994314,popularity,17,Kôdo Giasu: Hangyaku no Rurûshu,8.7,101012,,https://www.imdb.com/title/tt0994314/,Animation|Action|Drama
tt0434706,popularity,18,Monster,8.7,67444,2004.0,https://www.imdb.com/title/tt0434706/,Animation|Crime|Drama
tt0434665,popularity,19,Bleach,8.2,89694,2006.0,https://www.imdb.com/title/tt0434665/,Animation|Action|Adventure
tt13616990,popularity,20,Chainsaw Man,8.3,97266,2022.0,https://www.imdb.com/title/tt13616990/,Animation|Action|Comedy
tt9307686,popularity,21,Enen no Shôbôtai,7.6,17647,2019.0,https://www.imdb.com/title/tt9307686/,Animation|Action|Drama
tt14986406,popularity,22,Bleach: Sennen Kessen-hen,9.0,73289,2022.0,https://www.imdb.com/title/tt14986406/,Animation|Action|Adventure
tt12590266,popularity,23,Cyberpunk: Edgerunners,8.3,121577,2022.0,https://www.imdb.com/title/tt12590266/,Animation|Action|Adventure
tt7441658,popularity,24,Black Clover,8.2,47461,2017.0,https://www.imdb.com/title/tt7441658/,Animation|Action|Adventure
tt5607616,popularity,25,Re:Zero kara Hajimeru Isekai Seikatsu,8.1,39436,2016.0,https://www.imdb.com/title/tt5607616/,Animation|Adventure|Drama
tt32864316,popularity,26,Fate/strange Fake,8.3,1110,2024.0,https://www.imdb.com/title/tt32864316/,Animation|Action|Adventure
tt32612521,popularity,27,Gachiakuta,8.0,11323,2025.0,https://www.imdb.com/title/tt32612521/,Animation|Action|Adventure
tt14153236,popularity,28,Terminator Zero,6.9,13257,2024.0,https://www.imdb.com/title/tt14153236/,Animation|Action|Adventure
tt1910272,popularity,29,Steins;Gate,8.8,90568,2011.0,https://www.imdb.com/title/tt1910272/,Animation|Comedy|Drama
tt30217403,popularity,30,Dandadan,8.3,51454,2024.0,https://www.imdb.com/title/tt30217403/,Animation|Action|Adventure
tt0988818,popularity,31,Gintama,8.7,20494,,https://www.imdb.com/title/tt0988818/,Animation|Action|Comedy
tt26743760,popularity,32,Kusuriya no Hitorigoto,8.6,22476,2023.0,https://www.imdb.com/title/tt26743760/,Animation|Drama|History
tt13706018,popularity,33,Supai Famirî,8.2,59800,2022.0,https://www.imdb.com/title/tt13706018/,Animation|Action|Comedy
tt5897304,popularity,34,Mob Psycho 100,8.5,64638,2018.0,https://www.imdb.com/title/tt5897304/,Animation|Action|Comedy
tt0373732,popularity,35,The Boondocks,8.5,41005,2005.0,https://www.imdb.com/title/tt0373732/,Animation|Action|Comedy
tt3398540,popularity,36,Haikyû!!,8.7,51821,2014.0,https://www.imdb.com/title/tt3398540/,Animation|Comedy|Drama
tt21030032,popularity,37,Oshi no Ko,8.2,14980,2023.0,https://www.imdb.com/title/tt21030032/,Animation|Drama|Fantasy
tt3741634,popularity,38,Tokyo Ghoul,7.7,80128,2014.0,https://www.imdb.com/title/tt3741634/,Animation|Action|Drama
tt13293588,popularity,39,Mushoku Tensei: Isekai Ittara Honki Dasu,8.2,35340,2022.0,https://www.imdb.com/title/tt13293588/,Animation|Action|Adventure
tt9679542,popularity,41,Dr.STONE,8.1,41227,2019.0,https://www.imdb.com/title/tt9679542/,Animation|Action|Adventure
tt5249462,popularity,42,Boku dake ga inai machi,8.4,72747,2016.0,https://www.imdb.com/title/tt5249462/,Animation|Crime|Drama
tt21975436,popularity,43,Kaiju No. 8,8.2,30443,2024.0,https://www.imdb.com/title/tt21975436/,Animation|Action|Adventure
tt36988358,popularity,44,Takopii no genzai,8.7,24491,2025.0,https://www.imdb.com/title/tt36988358/,Animation|Drama|Sci-Fi
tt3895150,popularity,45,Shigatsu wa kimi no uso,8.5,48589,2014.0,https://www.imdb.com/title/tt3895150/,Animation|Comedy|Drama
tt8788458,popularity,46,Yakusoku no Neverland,8.1,57146,2019.0,https://www.imdb.com/title/tt8788458/,Animation|Action|Adventure
tt39050141,popularity,47,Purizumu Rondo,8.3,1303,2026.0,https://www.imdb.com/title/tt39050141/,Animation|Drama|History
tt7078180,popularity,48,Violet Evergarden,8.4,39704,2020.0,https://www.imdb.com/title/tt7078180/,Animation|Drama|Fantasy
tt1214085,popularity,49,Sôru îtâ,7.7,16504,2008.0,https://www.imdb.com/title/tt1214085/,Animation|Action|Adventure
tt32550889,popularity,50,Tongari Bôshi no Atorie,8.4,19,,https://www.imdb.com/title/tt32550889/,Animation|Adventure|Drama
tt9522300,popularity,51,Kaguya-sama wa kokurasetai ~ Tensai tachi no ren&apos;ai zunô sen ~,8.5,28175,2019.0,https://www.imdb.com/title/tt9522300/,Animation|Comedy|Drama
tt4644488,popularity,52,Dragon Ball Super: Doragon bôru cho,8.3,44611,2017.0,https://www.imdb.com/title/tt4644488/,Animation|Action|Adventure
tt15222080,popularity,53,Burû Rokku,8.1,30377,2022.0,https://www.imdb.com/title/tt15222080/,Animation|Sport|Thriller
tt36592690,popularity,54,Kaoru Hana wa Rin to Saku,8.3,10992,2025.0,https://www.imdb.com/title/tt36592690/,Animation|Comedy|Drama
tt2250192,popularity,56,Sword Art Online,7.5,61559,2012.0,https://www.imdb.com/title/tt2250192/,Animation|Action|Adventure
tt0421357,popularity,57,Hagane no renkinjutsushi,8.5,85466,2004.0,https://www.imdb.com/title/tt0421357/,Animation|Action|Adventure
tt9054364,popularity,58,Tensei Shitara Suraimu Datta Ken,8.0,22734,2018.0,https://www.imdb.com/title/tt9054364/,Animation|Action|Adventure
tt7222086,popularity,59,Made in Abyss,8.3,20608,2017.0,https://www.imdb.com/title/tt7222086/,Animation|Action|Adventure
tt2404499,popularity,60,Kingdom,8.8,6196,2012.0,https://www.imdb.com/title/tt2404499/,Animation|Action|Drama
tt0481256,popularity,61,Hajime no Ippo,8.8,17151,2000.0,https://www.imdb.com/title/tt0481256/,Animation|Action|Comedy
tt14115938,popularity,62,Kage no Jitsuryokusha ni Naritakute!,7.7,13938,2022.0,https://www.imdb.com/title/tt14115938/,Animation|Action|Adventure
tt3358020,popularity,63,Kiseijû: Sei no kakuritsu,8.2,61388,2016.0,https://www.imdb.com/title/tt3358020/,Animation|Action|Drama
tt17069148,popularity,64,Sakamoto Deizu,7.5,15437,2025.0,https://www.imdb.com/title/tt17069148/,Animation|Action|Adventure
tt16156736,popularity,65,Mato Seihei no Slave,6.2,2512,2024.0,https://www.imdb.com/title/tt16156736/,Animation|Action|Fantasy
tt33028568,popularity,66,Hikaru ga Shinda Natsu,7.9,6373,2025.0,https://www.imdb.com/title/tt33028568/,Animation|Drama|Horror
tt8225204,popularity,67,Golden Kamuy,8.0,3473,2018.0,https://www.imdb.com/title/tt8225204/,Animation|Action|Adventure
tt9458304,popularity,68,Dororo,8.2,28462,2019.0,https://www.imdb.com/title/tt9458304/,Animation|Action|Adventure
tt13718450,popularity,69,86,8.2,14019,2021.0,https://www.imdb.com/title/tt13718450/,Animation|Action|Drama
tt7263328,popularity,70,Yôkoso jitsuryoku shijô shugi no kyôshitsu e,7.7,22020,2017.0,https://www.imdb.com/title/tt7263328/,Animation|Drama|Thriller
tt0948103,popularity,71,Tengen toppa gurren lagann,8.3,25839,2007.0,https://www.imdb.com/title/tt0948103/,Animation|Action|Adventure
tt21621494,popularity,72,Danjon meshi,8.0,13734,2024.0,https://www.imdb.com/title/tt21621494/,Animation|Adventure|Comedy
tt0423731,popularity,73,Samurai Chanpurû,8.5,62899,2005.0,https://www.imdb.com/title/tt0423731/,Animation|Action|Adventure
tt15716776,popularity,74,Devil May Cry,7.4,28111,2025.0,https://www.imdb.com/title/tt15716776/,Animation|Action|Adventure
tt1773185,popularity,75,Mahô shôjo Madoka magika: Puella Magi Madoka Magica,8.2,13708,2011.0,https://www.imdb.com/title/tt1773185/,Animation|Action|Adventure
tt13196080,popularity,76,Tôkyô Ribenjâzu,7.7,32748,2021.0,https://www.imdb.com/title/tt13196080/,Animation|Action|Drama
tt0810705,popularity,77,Nana,8.5,8862,2006.0,https://www.imdb.com/title/tt0810705/,Animation|Comedy|Drama
tt15765670,popularity,78,Sono bisuku dôru wa koi o suru,7.9,24648,2022.0,https://www.imdb.com/title/tt15765670/,Animation|Comedy|Romance
tt12063450,popularity,79,Fumetsu no Anata e,8.3,12515,2021.0,https://www.imdb.com/title/tt12063450/,Animation|Adventure|Drama
tt0343314,popularity,80,Teen Titans,7.9,42768,2003.0,https://www.imdb.com/title/tt0343314/,Animation|Action|Adventure
tt26737616,popularity,81,Pluto,8.1,19622,2023.0,https://www.imdb.com/title/tt26737616/,Animation|Action|Drama
tt7745956,popularity,82,She-Ra and the Princesses of Power,8.1,21994,2018.0,https://www.imdb.com/title/tt7745956/,Animation|Action|Adventure
tt3909224,popularity,83,Nanatsu no taizai,7.7,45351,2015.0,https://www.imdb.com/title/tt3909224/,Animation|Action|Adventure
tt3742982,popularity,84,Akame ga Kill!,7.7,36908,2016.0,https://www.imdb.com/title/tt3742982/,Animation|Action|Comedy
tt8993398,popularity,85,Seishun buta yaro wa Bunny Girl-senpai no yume wo minai,8.0,24840,2018.0,https://www.imdb.com/title/tt8993398/,Animation|Drama|Fantasy
tt13676344,popularity,86,Shûmatsu no Valkyrie,6.6,12472,2021.0,https://www.imdb.com/title/tt13676344/,Animation|Action|Adventure
tt6660498,popularity,87,Devilman: Crybaby,7.6,35210,2018.0,https://www.imdb.com/title/tt6660498/,Animation|Action|Drama
tt6342474,popularity,88,Boruto: Naruto Next Generations,6.3,34174,2017.0,https://www.imdb.com/title/tt6342474/,Animation|Action|Adventure
tt1528406,popularity,89,Fairy Tail,7.9,31898,2011.0,https://www.imdb.com/title/tt1528406/,Animation|Action|Adventure
tt21209804,popularity,90,Mashle: Magic and Muscles,7.5,15780,2023.0,https://www.imdb.com/title/tt21209804/,Animation|Action|Adventure
tt37532731,popularity,91,Seihantai na Kimi to Boku,8.2,438,2026.0,https://www.imdb.com/title/tt37532731/,Animation|Comedy|Romance
tt4917066,popularity,92,Kangoku gakuen,7.5,9878,2015.0,https://www.imdb.com/title/tt4917066/,Animation|Comedy
tt13103134,popularity,93,Hori-san to Miyamura-kun,8.0,23523,2021.0,https://www.imdb.com/title/tt13103134/,Animation|Comedy|Drama
tt36294552,popularity,94,Trigun Stargaze,7.2,150,2026.0,https://www.imdb.com/title/tt36294552/,Animation|Action|Adventure
tt32336365,popularity,95,Ikoku Nikki,8.8,302,2026.0,https://www.imdb.com/title/tt32336365/,Animation|Drama
tt0495212,popularity,96,Hellsing Ultimate,8.2,30569,2006.0,https://www.imdb.com/title/tt0495212/,Animation|Action|Fantasy
tt9529546,popularity,97,Tate no Yuusha no Nariagari,7.7,22844,2019.0,https://www.imdb.com/title/tt9529546/,Animation|Action|Adventure
tt3837246,popularity,98,Ansatsu kyôshitsu,7.9,27380,2015.0,https://www.imdb.com/title/tt3837246/,Animation|Action|Comedy
tt0791205,popularity,99,Ergo Proxy,7.9,18561,2006.0,https://www.imdb.com/title/tt0791205/,Animation|Action|Adventure
