id,list_rank,bgm_rank,name,name_cn,year,score,votes,tags,url
2790,388,715,君に届け,好想告诉你,2009,7.6,5798,纯爱|校园|能登麻美子|好想告诉你|少女向|治愈|2009年10月|治愈清新|恋爱|TV|好想急死你|2009|浪川大辅|I.G|漫画改|ProductionI.G|治愈系|Production.I.G|君届|贞子|漫改|純愛|青春|校園|少女|日本|日常|中村悠一|君に届け|鏑木ひろ,https://chii.in/subject/2790
316247,398,738,Re:ゼロから始める異世界生活 2nd season 後半クール,Re：从零开始的异世界生活 第二季 后半部分,2021,7.6,12406,异世界|轻小说改|2021年1月|轮回|奇幻|TV|WHITEFOX|穿越|WHITE-FOX|2021|战斗|轻改|小说改|续集|日本|渡邊政治|恋爱|Re:从零开始异世界生活|后宫|续作|Re:ゼロから始める異世界生活|渡边政治|re0|Re：从零开始的异世界生活|冒险|热血|2021年|长月达平|WHITE_FOX|高橋李依,https://chii.in/subject/316247
20547,399,739,WORKING'!!,迷糊餐厅 第二季,2011,7.6,5706,搞笑|WORKING|轻喜剧|2011年10月|A-1Pictures|TV|福山润|日常|漫画改|2011|神谷浩史|亚麻大|恋爱|男性恐惧症|没有萨满汪汪|漫改|萝莉控|打工|职场|十月番|阿澄佳奈|日本|大槻敦史|小野大辅|治愈|欢乐|迷糊餐厅|萌|A-1|中村出现了,https://chii.in/subject/20547
334,401,742,フルメタル・パニック!,全金属狂潮,2002,7.6,5730,全金属狂潮|GONZO|TV|贺东招二|2002|科幻|萝卜|轻小说改|军事狂，无常识|雪野五月|机战|2002年1月|关智一|纸扇|小说改|轻改|千明孝一|全金属狂潮1|搞笑|校园|SF|日本|战斗|角川书店|京阿尼|2002年|全金|恋爱|机器人|半年番,https://chii.in/subject/334
265708,406,749,女子高生の無駄づかい,女高中生的无所事事,2019,7.6,11494,搞笑|日常|校园|2019年7月|漫画改|沙雕|TV|Passione|2019|漫改|百合|女高中生的无所事事|日本|さんぺい聖|赤﨑千夏|治愈|青春|轻百合|三瓶圣|2019年|高桥丈夫|吐槽|户松遥|横谷昌宏|有趣的女人|2019夏|丰崎爱生|动画|パッショーネ|喜剧,https://chii.in/subject/265708
262940,407,750,とある科学の超電磁砲T,某科学的超电磁炮T,2020,7.6,12144,J.C.STAFF|某科学的超电磁炮|战斗|校园|2020年1月|漫画改|TV|百合|2020|魔法禁书目录|科幻|漫改|长井龙雪|外传|日本|续篇|炮姐|奇幻|超能力|御坂美琴|日常|续作|超电磁炮|轻小说改|轻百合|轻改|長井龍雪|热血|少年向|搞笑,https://chii.in/subject/262940
243916,409,760,約束のネバーランド,约定的梦幻岛,2019,7.6,11760,悬疑|CloverWorks|2019年1月|漫改|智斗|漫画改|TV|冒险|2019|JUMP|奇幻|noitaminA|神戸守|孩子们的冒险|邪道|日本|约定的梦幻岛|神户守|大野敏哉|剧情|2019年|热血|猎奇|动画|内田真礼|科幻|神作|日本动画|致郁|战斗,https://chii.in/subject/243916
1851,413,772,Angel Beats!,天使的心跳！,2010,7.6,22553,麻枝准|key|AngleBeats!|P.A.WORKS|原创|2010年4月|TV|治愈|催泪|2010|校园|神谷浩史|花泽香菜|奇幻|香菜|伪团长|死后的团长|AB|恋爱|殴打天使|日本|搞笑|岸诚二|战斗|Angel|岸誠二|日常|2010年|麻麻麻麻麻麻麻枝准|Beats,https://chii.in/subject/1851
8081,415,775,荒川アンダー ザ ブリッジ×ブリッジ,荒川爆笑团2,2010,7.6,5590,新房昭之|荒川爆笑团|搞笑|电波系|SHAFT|神谷浩史|2010年10月|TV|2010|坂本真綾|杉田智和|招兵买马|漫画改|第二季|日常|电波|子安武人|小珊|漫改|2010-10月番|恋爱|日本|吐槽|笑得肚子疼|治愈|坂本真绫|中村光|续作|中村悠一|十月番,https://chii.in/subject/8081
51928,417,778,とある科学の超電磁砲S,某科学的超电磁炮S,2013,7.6,17312,J.C.STAFF|炮姐|超电磁炮|2013年4月|百合|御坂美琴|校园|TV|轻小说改|战斗|漫画改|2013|黑子|长井龙雪|科幻|花泽香菜|漫改|魔法禁书目录|日本|超能力|某科学的超电磁炮|奇幻|轻改|日常|豊崎愛生|轻百合|续作|長井龍雪|热血|佐藤利奈,https://chii.in/subject/51928
